seed,model,variant_type,corruption,severity,rmse_mean,mae_mean,nll,sharp,reg_ece,reg_ece_pf_mean,reg_ece_pf,coverage_pf_50_80_90_95,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag,nominal_level,coverage_pf_mean,coverage_pf,coverage_gap_abs_mean,interval_width_mean,interval_width_pf
47,DeepSets_RESVAR,predictive,gaussian_blur,1,0.31768491864204407,0.23861686885356903,-0.9046695232391357,0.10761352628469467,0.016456499695777893,0.016456499695777893,"[0.008928603492677212, 0.004532385617494583, 0.017879003658890724, 0.01964341290295124, 0.017129117622971535, 0.03696783632040024, 0.006935316603630781, 0.019203566014766693, 0.02761049009859562, 0.005735265556722879]","[[0.5199999809265137, 0.8179364800453186, 0.9063095450401306, 0.9505555629730225], [0.5102381110191345, 0.7959920763969421, 0.8913888931274414, 0.9417063593864441], [0.5419444441795349, 0.8261507749557495, 0.9093650579452515, 0.9477381110191345], [0.5448412895202637, 0.8117856979370117, 0.8887698650360107, 0.9285714030265808], [0.5284126996994019, 0.8031349182128906, 0.888015866279602, 0.932023823261261], [0.48496031761169434, 0.772261917591095, 0.8689682483673096, 0.9209523797035217], [0.5417460203170776, 0.8258333206176758, 0.9115476012229919, 0.9528968334197998], [0.4690476059913635, 0.7699206471443176, 0.8858333230018616, 0.946071445941925], [0.4952380955219269, 0.7874603271484375, 0.8871031999588013, 0.9417063593864441], [0.4963095188140869, 0.8172222375869751, 0.9083333611488342, 0.9544047713279724]]",DeepSets_RESVAR,DeepSets_RESVAR_seed47,deepsets,DeepSets,residual_variance_reg,RESVAR,,,,,,
47,DeepSets_RESVAR+posthocT,predictive,gaussian_blur,1,0.31768491864204407,0.23861686885356903,-0.90546715259552,0.11295337229967117,0.01610548235476017,0.01610548235476017,"[0.010698429308831692, 0.0034750751219689846, 0.019241012632846832, 0.019316524267196655, 0.016000807285308838, 0.03135333210229874, 0.00939315278083086, 0.017710035666823387, 0.027942681685090065, 0.005923758260905743]","[[0.5310317277908325, 0.8275793790817261, 0.9131349325180054, 0.9558333158493042], [0.5198412537574768, 0.8061507940292358, 0.8994840979576111, 0.9468650817871094], [0.5520238280296326, 0.8358333110809326, 0.9155952334403992, 0.9517857432365417], [0.5553174614906311, 0.8205158710479736, 0.894960343837738, 0.9337301850318909], [0.5384920835494995, 0.8125396966934204, 0.8944841027259827, 0.9368650913238525], [0.4955158829689026, 0.7819841504096985, 0.8762698173522949, 0.9265079498291016], [0.5520634651184082, 0.8353174328804016, 0.9188095331192017, 0.9573412537574768], [0.47880953550338745, 0.7828968167304993, 0.8957539796829224, 0.9522222280502319], [0.506507933139801, 0.7982142567634583, 0.8955555558204651, 0.94734126329422], [0.5074206590652466, 0.8271825313568115, 0.9160317182540894, 0.9585714340209961]]",DeepSets_RESVAR,DeepSets_RESVAR_seed47,deepsets,DeepSets,residual_variance_reg,RESVAR,,,,,,
47,DeepSets_RESVAR+pfT,predictive,gaussian_blur,1,0.31768491864204407,0.23861686885356903,-0.9068362546195146,0.11718836852551555,0.015238741412758827,0.015238741412758827,"[0.008452466689050198, 0.0047228047624230385, 0.01693291962146759, 0.01993490196764469, 0.022184012457728386, 0.02435489371418953, 0.00406954251229763, 0.01773938164114952, 0.0282604843378067, 0.005736012011766434]","[[0.5123015642166138, 0.8107936382293701, 0.9008730053901672, 0.9469047784805298], [0.5273412466049194, 0.8150396943092346, 0.9054365158081055, 0.9515079259872437], [0.5345237851142883, 0.819007933139801, 0.904801607131958, 0.9441666603088379], [0.5632143020629883, 0.8272222280502319, 0.8992460370063782, 0.936984121799469], [0.5576587319374084, 0.8288888931274414, 0.9058730006217957, 0.9450793862342834], [0.5248016119003296, 0.8098809719085693, 0.897341251373291, 0.9416269659996033], [0.5261508226394653, 0.8110317587852478, 0.9002380967140198, 0.9453968405723572], [0.4786904752254486, 0.7827380895614624, 0.8955158591270447, 0.9520635008811951], [0.5084523558616638, 0.8011904954910278, 0.897857129573822, 0.948888897895813], [0.49511903524398804, 0.8162698149681091, 0.9075000286102295, 0.9540079236030579]]",DeepSets_RESVAR,DeepSets_RESVAR_seed47,deepsets,DeepSets,residual_variance_reg,RESVAR,,,,,,
47,DeepSets_RESVAR+conformal90,interval,gaussian_blur,1,0.31768491864204407,0.23861686885356903,-0.9046695232391357,0.10761352628469467,0.016456499695777893,0.016456499695777893,"[0.008928603492677212, 0.004532385617494583, 0.017879003658890724, 0.01964341290295124, 0.017129117622971535, 0.03696783632040024, 0.006935316603630781, 0.019203566014766693, 0.02761049009859562, 0.005735265556722879]",,DeepSets_RESVAR,DeepSets_RESVAR_seed47,deepsets,DeepSets,residual_variance_reg,RESVAR,0.9,0.8974801587301589,"[0.8971031746031746, 0.9022222222222223, 0.8957142857142857, 0.8963888888888889, 0.8981746031746032, 0.8956746031746031, 0.8946031746031746, 0.8915079365079365, 0.8998412698412699, 0.9035714285714286]",0.0036785714285714533,1.0296604633331299,"[0.9218648672103882, 0.6737720370292664, 1.0626190900802612, 1.4392434358596802, 1.5052506923675537, 1.7070266008377075, 0.5207973122596741, 0.8215293884277344, 1.4996016025543213, 0.14544357359409332]"
47,DeepSets_RESVAR+cdfCal90,interval,gaussian_blur,1,0.31768491864204407,0.23861686885356903,-0.9046695232391357,0.10761352628469467,0.016456499695777893,0.016456499695777893,"[0.008928603492677212, 0.004532385617494583, 0.017879003658890724, 0.01964341290295124, 0.017129117622971535, 0.03696783632040024, 0.006935316603630781, 0.019203566014766693, 0.02761049009859562, 0.005735265556722879]",,DeepSets_RESVAR,DeepSets_RESVAR_seed47,deepsets,DeepSets,residual_variance_reg,RESVAR,0.9,0.8967817460317461,"[0.8907936507936508, 0.9057936507936508, 0.8996031746031746, 0.8979761904761905, 0.900952380952381, 0.8953968253968254, 0.8905952380952381, 0.8912698412698413, 0.8961111111111111, 0.8993253968253968]",0.004567460317460326,0.9800639184059198,"[0.8804439779352561, 0.6307140862069005, 1.0081466527944822, 1.3960401514693983, 1.464215942778616, 1.6410138115049755, 0.5055664620885465, 0.7698298836652693, 1.400270969686316, 0.1043972459294442]"
47,DeepSets_RESVAR+gaussSplitConf90,interval,gaussian_blur,1,0.31768491864204407,0.23861686885356903,-0.9046695232391357,0.10761352628469467,0.016456499695777893,0.016456499695777893,"[0.008928603492677212, 0.004532385617494583, 0.017879003658890724, 0.01964341290295124, 0.017129117622971535, 0.03696783632040024, 0.006935316603630781, 0.019203566014766693, 0.02761049009859562, 0.005735265556722879]",,DeepSets_RESVAR,DeepSets_RESVAR_seed47,deepsets,DeepSets,residual_variance_reg,RESVAR,0.9,0.9018571428571429,"[0.9063095238095238, 0.9016269841269842, 0.9093650793650794, 0.8973015873015873, 0.9007539682539683, 0.8945634920634921, 0.911547619047619, 0.8909920634920635, 0.8977777777777778, 0.9083333333333333]",0.0057301587301587294,0.9947680812002194,"[0.9120215672252453, 0.6327721543059095, 1.0449388932467698, 1.3901332481747508, 1.4706714065937245, 1.6519254268308214, 0.5352204902881423, 0.7686812474089656, 1.4087847118844874, 0.13253166604338235]"
47,DeepSets_RESVAR,predictive,gaussian_blur,3,0.4451008439064026,0.3427430987358093,-0.010128873400390148,0.10856103152036667,0.10743770748376846,0.10743770748376846,"[0.3691658675670624, 0.07578855007886887, 0.0843847468495369, 0.0878291055560112, 0.11729232966899872, 0.12044274806976318, 0.125289648771286, 0.03413909673690796, 0.053246770054101944, 0.006798241753131151]","[[0.21460317075252533, 0.39500001072883606, 0.489642858505249, 0.5624206066131592], [0.3526190519332886, 0.6151190400123596, 0.7301587462425232, 0.8059523701667786], [0.4094444513320923, 0.6803174614906311, 0.7885714173316956, 0.8575793504714966], [0.4144841134548187, 0.6946428418159485, 0.8024603128433228, 0.8654364943504333], [0.3862301707267761, 0.663690447807312, 0.7848016023635864, 0.8574603199958801], [0.3940476179122925, 0.679444432258606, 0.7927777767181396, 0.8619047403335571], [0.2958730161190033, 0.5205952525138855, 0.6257936358451843, 0.7015476226806641], [0.42523810267448425, 0.7205952405929565, 0.8410317301750183, 0.9095237851142883], [0.4573412835597992, 0.7403571605682373, 0.8441269993782043, 0.9035714268684387], [0.45519840717315674, 0.7376587390899658, 0.8390079140663147, 0.9019841551780701]]",DeepSets_RESVAR,DeepSets_RESVAR_seed47,deepsets,DeepSets,residual_variance_reg,RESVAR,,,,,,
47,DeepSets_RESVAR+posthocT,predictive,gaussian_blur,3,0.4451008439064026,0.3427430987358093,-0.05269734933972359,0.11394788324832916,0.10172580182552338,0.10172580182552338,"[0.3636443316936493, 0.07206351310014725, 0.07791347801685333, 0.07977987825870514, 0.1086973249912262, 0.11136828362941742, 0.12209256738424301, 0.029708482325077057, 0.04536999389529228, 0.006620153319090605]","[[0.22027777135372162, 0.40242063999176025, 0.4997619092464447, 0.5731745958328247], [0.35948413610458374, 0.6249603033065796, 0.740912675857544, 0.815833330154419], [0.4177381098270416, 0.6909523606300354, 0.7982142567634583, 0.8653571605682373], [0.42325395345687866, 0.7063491940498352, 0.8120635151863098, 0.8742063641548157], [0.39396825432777405, 0.6754364967346191, 0.7958729863166809, 0.8663889169692993], [0.4024603068828583, 0.6907936334609985, 0.8034920692443848, 0.8697618842124939], [0.30194443464279175, 0.5300793647766113, 0.6357539892196655, 0.7132539749145508], [0.43519842624664307, 0.7330952286720276, 0.8514285683631897, 0.9164285659790039], [0.46611112356185913, 0.7509523630142212, 0.8540475964546204, 0.9101983904838562], [0.46519842743873596, 0.7490079402923584, 0.8478174805641174, 0.9098809361457825]]",DeepSets_RESVAR,DeepSets_RESVAR_seed47,deepsets,DeepSets,residual_variance_reg,RESVAR,,,,,,
47,DeepSets_RESVAR+pfT,predictive,gaussian_blur,3,0.4451008439064026,0.3427430987358093,-0.003290908883399901,0.11821749840053902,0.09919007867574692,0.09919007867574692,"[0.3729214668273926, 0.06882228702306747, 0.08887992054224014, 0.0732966884970665, 0.0929359570145607, 0.08525265753269196, 0.12996816635131836, 0.029795536771416664, 0.04321471229195595, 0.006813432555645704]","[[0.21142856776714325, 0.38857144117355347, 0.4818650782108307, 0.554960310459137], [0.36694443225860596, 0.6346428394317627, 0.7509127259254456, 0.8236904740333557], [0.40369048714637756, 0.6720634698867798, 0.7818650603294373, 0.851111114025116], [0.42972221970558167, 0.7144841551780701, 0.8190873265266418, 0.8803571462631226], [0.41083332896232605, 0.6957539916038513, 0.8142460584640503, 0.8821825385093689], [0.4278174638748169, 0.7210714221000671, 0.8295238018035889, 0.8902778029441833], [0.28678572177886963, 0.5045635104179382, 0.6100793480873108, 0.6858730316162109], [0.4349603056907654, 0.7328174710273743, 0.851111114025116, 0.9163095355033875], [0.4684523940086365, 0.7542856931686401, 0.856071412563324, 0.9122619032859802], [0.45428571105003357, 0.7367460131645203, 0.8383333086967468, 0.9010714292526245]]",DeepSets_RESVAR,DeepSets_RESVAR_seed47,deepsets,DeepSets,residual_variance_reg,RESVAR,,,,,,
47,DeepSets_RESVAR+conformal90,interval,gaussian_blur,3,0.4451008439064026,0.3427430987358093,-0.010128873400390148,0.10856103152036667,0.10743770748376846,0.10743770748376846,"[0.3691658675670624, 0.07578855007886887, 0.0843847468495369, 0.0878291055560112, 0.11729232966899872, 0.12044274806976318, 0.125289648771286, 0.03413909673690796, 0.053246770054101944, 0.006798241753131151]",,DeepSets_RESVAR,DeepSets_RESVAR_seed47,deepsets,DeepSets,residual_variance_reg,RESVAR,0.9,0.7767777777777778,"[0.49297619047619046, 0.7706746031746031, 0.7826587301587301, 0.8337301587301588, 0.8068650793650793, 0.835952380952381, 0.6229365079365079, 0.8660714285714286, 0.8769444444444444, 0.878968253968254]",0.12322222222222226,1.0296604633331299,"[0.9218648672103882, 0.6737720370292664, 1.0626190900802612, 1.4392434358596802, 1.5052506923675537, 1.7070266008377075, 0.5207973122596741, 0.8215293884277344, 1.4996016025543213, 0.14544357359409332]"
