factor_j,slice,n,rmse_mean,mae_mean,nll,sharp,reg_ece,reg_ece_pf_mean,reg_ece_pf,coverage_pf_50_80_90_95,seed,model,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag
0,lo10,2520,0.357052743434906,0.26796188950538635,-0.7947827577590942,0.13113807141780853,0.02332540601491928,0.02332540601491928,"[0.04415349289774895, 0.01283164694905281, 0.027141284197568893, 0.03154674544930458, 0.026125116273760796, 0.028655661270022392, 0.014736897312104702, 0.02061719074845314, 0.020647458732128143, 0.006798551883548498]","[[0.4476190507411957, 0.7678571343421936, 0.8702380657196045, 0.9257936477661133], [0.49246031045913696, 0.7646825313568115, 0.8682539463043213, 0.9261904954910278], [0.5039682388305664, 0.7865079641342163, 0.8892857432365417, 0.9357143044471741], [0.5341269969940186, 0.8214285969734192, 0.8908730149269104, 0.9436507821083069], [0.519444465637207, 0.7968254089355469, 0.8809523582458496, 0.932539701461792], [0.5150793790817261, 0.7952380776405334, 0.8896825313568115, 0.9460317492485046], [0.4753968119621277, 0.7646825313568115, 0.8698412775993347, 0.9273809790611267], [0.46071428060531616, 0.7686507701873779, 0.8900793790817261, 0.9519841074943542], [0.5011904835700989, 0.7992063760757446, 0.8948412537574768, 0.946825385093689], [0.5480158925056458, 0.8638888597488403, 0.9555555582046509, 0.983730137348175]]",46,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed46,meanpool,MeanPoolMLP,nll,NLL
0,hi10,2520,0.37134847044944763,0.27817025780677795,-0.7447264790534973,0.14567123353481293,0.020995665341615677,0.020995665341615677,"[0.04505976662039757, 0.017429500818252563, 0.016341950744390488, 0.02765420638024807, 0.0222160741686821, 0.02296992763876915, 0.015948498621582985, 0.013905217871069908, 0.022030197083950043, 0.006401309743523598]","[[0.42698413133621216, 0.7472222447395325, 0.8634920716285706, 0.9234126806259155], [0.48373016715049744, 0.7833333611488342, 0.875, 0.9277777671813965], [0.4849206209182739, 0.7710317373275757, 0.8765873312950134, 0.9246031641960144], [0.5174603462219238, 0.8063492178916931, 0.8924603462219238, 0.9420635104179382], [0.5452380776405334, 0.8154761791229248, 0.898809552192688, 0.9408730268478394], [0.5142857432365417, 0.800000011920929, 0.8940476179122925, 0.9416666626930237], [0.5051587224006653, 0.7853174805641174, 0.8920634984970093, 0.9357143044471741], [0.4749999940395355, 0.7869047522544861, 0.8880952596664429, 0.9496031999588013], [0.4821428656578064, 0.7928571701049805, 0.898809552192688, 0.9460317492485046], [0.5357142686843872, 0.8376984000205994, 0.9202380776405334, 0.9611111283302307]]",46,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed46,meanpool,MeanPoolMLP,nll,NLL
1,lo10,2520,0.36368781328201294,0.27042001485824585,-0.7703682780265808,0.1403006911277771,0.026417141780257225,0.026417141780257225,"[0.015076006762683392, 0.060878198593854904, 0.024945473298430443, 0.03338455408811569, 0.026317328214645386, 0.019971957430243492, 0.019162384793162346, 0.02306942269206047, 0.03287574648857117, 0.008490342646837234]","[[0.4869047701358795, 0.7853174805641174, 0.8900793790817261, 0.9428571462631226], [0.3738095164299011, 0.6742063760757446, 0.811904788017273, 0.8880952596664429], [0.5107142925262451, 0.807539701461792, 0.9015873074531555, 0.9408730268478394], [0.5551587343215942, 0.8365079164505005, 0.9138888716697693, 0.9531745910644531], [0.5464285612106323, 0.8162698149681091, 0.8956349492073059, 0.9317460060119629], [0.5321428775787354, 0.8003968000411987, 0.8833333253860474, 0.9337301850318909], [0.4829365015029907, 0.7753968238830566, 0.882539689540863, 0.9321428537368774], [0.4809523820877075, 0.7873015999794006, 0.8964285850524902, 0.9595237970352173], [0.4900793731212616, 0.7896825671195984, 0.8908730149269104, 0.9408730268478394], [0.5690476298332214, 0.8694444298744202, 0.9448412656784058, 0.9793650507926941]]",46,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed46,meanpool,MeanPoolMLP,nll,NLL
1,hi10,2520,0.3457261621952057,0.25854891538619995,-0.8246241807937622,0.1252206414937973,0.021129867061972618,0.021129867061972618,"[0.0220458023250103, 0.02688027359545231, 0.022218449041247368, 0.026219794526696205, 0.03620458021759987, 0.021591171622276306, 0.016639357432723045, 0.01220216415822506, 0.022166170179843903, 0.005130915902554989]","[[0.4908730089664459, 0.7932539582252502, 0.8896825313568115, 0.9388889074325562], [0.4809523820877075, 0.7710317373275757, 0.8765873312950134, 0.932539701461792], [0.5019841194152832, 0.7753968238830566, 0.8789682388305664, 0.9309523701667786], [0.529365062713623, 0.8142856955528259, 0.8892857432365417, 0.9341269731521606], [0.5325396656990051, 0.8019841313362122, 0.8861111402511597, 0.9365079402923584], [0.5067460536956787, 0.7940475940704346, 0.8936507701873779, 0.9476190209388733], [0.5214285850524902, 0.7972221970558167, 0.894444465637207, 0.9388889074325562], [0.466269850730896, 0.7865079641342163, 0.8952381014823914, 0.949999988079071], [0.5154761672019958, 0.8083333373069763, 0.901190459728241, 0.949999988079071], [0.4968253970146179, 0.8349206447601318, 0.9301587343215942, 0.9742063283920288]]",46,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed46,meanpool,MeanPoolMLP,nll,NLL
2,lo10,2520,0.3696184754371643,0.27821439504623413,-0.7504314184188843,0.13901226222515106,0.02838856540620327,0.02838856540620327,"[0.023266684263944626, 0.028209904208779335, 0.09652076661586761, 0.030407177284359932, 0.020309271290898323, 0.02389620430767536, 0.011227641254663467, 0.012540563941001892, 0.030887002125382423, 0.006620438303798437]","[[0.4992063343524933, 0.7765873074531555, 0.8789682388305664, 0.9321428537368774], [0.44603174924850464, 0.7373015880584717, 0.8503968119621277, 0.9091269969940186], [0.4047619104385376, 0.6888889074325562, 0.815079391002655, 0.8837301731109619], [0.5154761672019958, 0.8091269731521606, 0.8888888955116272, 0.936904788017273], [0.5265873074531555, 0.8134920597076416, 0.9015873074531555, 0.9476190209388733], [0.5226190686225891, 0.8063492178916931, 0.9063491821289062, 0.9484127163887024], [0.5023809671401978, 0.788095235824585, 0.8853174448013306, 0.9321428537368774], [0.4920634925365448, 0.7896825671195984, 0.8996031880378723, 0.954365074634552], [0.5035714507102966, 0.8055555820465088, 0.9039682745933533, 0.9484127163887024], [0.5400793552398682, 0.8380952477455139, 0.9277777671813965, 0.9710317254066467]]",46,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed46,meanpool,MeanPoolMLP,nll,NLL
2,hi10,2520,0.4086642861366272,0.31304389238357544,-0.6326658725738525,0.16230297088623047,0.03219042718410492,0.03219042718410492,"[0.024938082322478294, 0.027263762429356575, 0.0817294642329216, 0.0333646684885025, 0.05585339292883873, 0.02552272379398346, 0.01736271381378174, 0.021937066689133644, 0.027620315551757812, 0.006312067154794931]","[[0.48055556416511536, 0.7884920835494995, 0.8841269612312317, 0.9341269731521606], [0.4642857015132904, 0.7674603462219238, 0.8670634627342224, 0.9238095283508301], [0.38055557012557983, 0.6817460060119629, 0.8142856955528259, 0.8916666507720947], [0.4948412775993347, 0.7746031880378723, 0.8789682388305664, 0.9337301850318909], [0.45198413729667664, 0.7539682388305664, 0.8492063283920288, 0.9055555462837219], [0.49642857909202576, 0.7984126806259155, 0.8999999761581421, 0.9503968358039856], [0.4928571283817291, 0.7817460298538208, 0.8773809671401978, 0.9297618865966797], [0.4742063581943512, 0.7821428775787354, 0.8845238089561462, 0.9416666626930237], [0.47460317611694336, 0.7674603462219238, 0.8813492059707642, 0.9305555820465088], [0.5468254089355469, 0.8551587462425232, 0.9444444179534912, 0.976190447807312]]",46,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed46,meanpool,MeanPoolMLP,nll,NLL
3,lo10,2520,0.3902738392353058,0.3021424412727356,-0.6788219213485718,0.1338479220867157,0.047271259129047394,0.047271259129047394,"[0.013455321080982685, 0.01582128182053566, 0.05796220526099205, 0.22781318426132202, 0.04800739884376526, 0.049259003251791, 0.011036301031708717, 0.016245784237980843, 0.02601541019976139, 0.007096701301634312]","[[0.511904776096344, 0.8146825432777405, 0.904365062713623, 0.9444444179534912], [0.46666666865348816, 0.7599206566810608, 0.8666666746139526, 0.9238095283508301], [0.44206348061561584, 0.726190447807312, 0.8325396776199341, 0.8884920477867126], [0.2730158865451813, 0.5579364895820618, 0.7015873193740845, 0.8123015761375427], [0.4841269850730896, 0.7753968238830566, 0.8658730387687683, 0.9182539582252502], [0.4464285671710968, 0.7460317611694336, 0.8591269850730896, 0.9214285612106323], [0.4992063343524933, 0.7896825671195984, 0.8916666507720947, 0.9420635104179382], [0.4674603044986725, 0.7888888716697693, 0.8964285850524902, 0.9519841074943542], [0.4793650805950165, 0.7972221970558167, 0.8960317373275757, 0.9492063522338867], [0.5567460060119629, 0.8563492298126221, 0.9376984238624573, 0.9750000238418579]]",46,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed46,meanpool,MeanPoolMLP,nll,NLL
3,hi10,2520,0.414634644985199,0.32076114416122437,-0.6461715698242188,0.17483635246753693,0.04419558122754097,0.04419558122754097,"[0.02352203242480755, 0.013801061548292637, 0.046641755849123, 0.20374317467212677, 0.03822649270296097, 0.04753897339105606, 0.017331266775727272, 0.023194894194602966, 0.02091991901397705, 0.007036237511783838]","[[0.5206349492073059, 0.800000011920929, 0.8972222208976746, 0.9404761791229248], [0.49166667461395264, 0.7928571701049805, 0.8837301731109619, 0.9420635104179382], [0.46785715222358704, 0.7579365372657776, 0.8559523820877075, 0.9166666865348816], [0.25952380895614624, 0.6277777552604675, 0.7753968238830566, 0.8726190328598022], [0.5392857193946838, 0.809920608997345, 0.8932539820671082, 0.9408730268478394], [0.4670634865760803, 0.7603174448013306, 0.8607142567634583, 0.9257936477661133], [0.5234127044677734, 0.8055555820465088, 0.9063491821289062, 0.9484127163887024], [0.4734126925468445, 0.7698412537574768, 0.8920634984970093, 0.9575396776199341], [0.5126984119415283, 0.8055555820465088, 0.9063491821289062, 0.9531745910644531], [0.5615079402923584, 0.8626984357833862, 0.9464285969734192, 0.9793650507926941]]",46,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed46,meanpool,MeanPoolMLP,nll,NLL
4,lo10,2520,0.38705891370773315,0.29751259088516235,-0.7023205161094666,0.12177209556102753,0.05730609968304634,0.05730609968304634,"[0.023251038044691086, 0.014535440132021904, 0.026795465499162674, 0.08263526111841202, 0.28295326232910156, 0.0869566947221756, 0.00781876128166914, 0.024351172149181366, 0.01664775423705578, 0.007116128224879503]","[[0.5242063403129578, 0.8170635104179382, 0.9003968238830566, 0.9503968358039856], [0.48968252539634705, 0.7749999761581421, 0.8742063641548157, 0.925000011920929], [0.4892857074737549, 0.7876983880996704, 0.8857142925262451, 0.9412698149681091], [0.42500001192092896, 0.6861110925674438, 0.788095235824585, 0.8654761910438538], [0.23531745374202728, 0.5091269612312317, 0.6607142686843872, 0.776190459728241], [0.4099206328392029, 0.6976190209388733, 0.8146825432777405, 0.8853174448013306], [0.5011904835700989, 0.7964285612106323, 0.8980158567428589, 0.9388889074325562], [0.47579365968704224, 0.7857142686843872, 0.8964285850524902, 0.9515873193740845], [0.5031746029853821, 0.800000011920929, 0.8999999761581421, 0.9476190209388733], [0.5476190447807312, 0.8408730030059814, 0.938095211982727, 0.9757936596870422]]",46,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed46,meanpool,MeanPoolMLP,nll,NLL
4,hi10,2520,0.3745054602622986,0.290283203125,-0.753669261932373,0.14226752519607544,0.04065289348363876,0.04065289348363876,"[0.023212213069200516, 0.02107873558998108, 0.02190866321325302, 0.0491923950612545, 0.19796130061149597, 0.037134602665901184, 0.009610677137970924, 0.017105653882026672, 0.022579375654459, 0.006745349150151014]","[[0.5376983880996704, 0.8269841074943542, 0.9095237851142883, 0.949999988079071], [0.48055556416511536, 0.7853174805641174, 0.8853174448013306, 0.938095211982727], [0.5460317730903625, 0.8182539939880371, 0.9099206328392029, 0.9559524059295654], [0.47261905670166016, 0.7515873312950134, 0.858730137348175, 0.9166666865348816], [0.28611111640930176, 0.6365079283714294, 0.7944444417953491, 0.8785714507102966], [0.47380951046943665, 0.7630952596664429, 0.8666666746139526, 0.9273809790611267], [0.511904776096344, 0.821825385093689, 0.9138888716697693, 0.9523809552192688], [0.4710317552089691, 0.7896825671195984, 0.8908730149269104, 0.9488095045089722], [0.49960318207740784, 0.791269838809967, 0.8884920477867126, 0.9388889074325562], [0.5265873074531555, 0.8420634865760803, 0.9341269731521606, 0.9722222089767456]]",46,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed46,meanpool,MeanPoolMLP,nll,NLL
