a,b,factor_j,target_gap_std,protected_joint_dist_std,protected_max_drift_std,latent_score,image_mse,mask_iou_mean,mask_iou_median,mask_iou_min,slot_l2_mean,slot_l2_median,slot_l2_max,slot_cos_mean,mask_a_raw_min,mask_a_raw_max,mask_a_area_per_slot,mask_a_area_min,mask_a_area_max,mask_a_area_mean,mask_a_area_std,mask_a_entropy_per_slot,mask_a_entropy_mean,mask_a_entropy_min,mask_a_entropy_max,mask_a_entropy_std,mask_a_pixel_slot_entropy,mask_a_within_image_diversity,mask_a_within_image_pair_iou_mean,mask_b_raw_min,mask_b_raw_max,mask_b_area_per_slot,mask_b_area_min,mask_b_area_max,mask_b_area_mean,mask_b_area_std,mask_b_entropy_per_slot,mask_b_entropy_mean,mask_b_entropy_min,mask_b_entropy_max,mask_b_entropy_std,mask_b_pixel_slot_entropy,mask_b_within_image_diversity,mask_b_within_image_pair_iou_mean,match_rows,match_cols,fail_mask_iou_mean,fail_mask_iou_min,fail_slot_l2,fail_image_mse,fail_reasons
20980,6009,3,1.9337253396554472,0.4600329383639826,0.24253832821921728,0.2551916165973061,0.004906256217509508,0.7065578103065491,0.7129707932472229,0.645897388458252,1.7905631959438324,1.8068585395812988,1.9903258085250854,0.7440056055784225,4.679221456171945e-05,0.9820490479469299,"[0.22759111768408147, 0.22318291204166485, 0.27059388970381804, 0.2786320802249804]",0.22318291204166485,0.2786320802249804,0.2499999999136362,0.024825483501618395,"[0.9701962215321016, 0.9794321712060315, 0.983037757327273, 0.9399658835661522]",0.9681580084078897,0.9399658835661522,0.983037757327273,0.016937118191524783,0.8003252862871602,0.5659888077467194,0.4340111922532805,1.8557711882749572e-05,0.9951311349868774,"[0.213752670130968, 0.225576811915019, 0.25762879016229334, 0.3030417278955704]",0.213752670130968,0.3030417278955704,0.2500000000259627,0.034575946756223504,"[0.9659968985974114, 0.9735768690690683, 0.9788721356233304, 0.9326598784384456]",0.962776445432064,0.9326598784384456,0.9788721356233304,0.017979845101830653,0.758790728454106,0.5781743111218938,0.42182568887810623,"[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,True,False,slot_l2
5933,20598,3,1.2889252050392783,0.4401459732693789,0.24806161705275315,0.368407145051088,0.008239064365625381,0.5981950759887695,0.6067060828208923,0.5149155855178833,2.2735210061073303,2.2275426387786865,2.5079708099365234,0.5497154295444489,1.946376323758159e-05,0.9965920448303223,"[0.20347388070333983, 0.22414189549350994, 0.2519613194932937, 0.3204229052333645]",0.20347388070333983,0.3204229052333645,0.250000000230877,0.044149047841198746,"[0.9573949594823665, 0.9729040848353604, 0.9749313905623862, 0.9345428283729201]",0.9599433158132583,0.9345428283729201,0.9749313905623862,0.016157837111798874,0.7369271548913703,0.5947085328774708,0.4052914671225291,3.5176894925825763e-06,0.9986774325370789,"[0.19886875755965383, 0.21045156902122164, 0.25662302604628806, 0.33405664702154425]",0.19886875755965383,0.33405664702154425,0.24999999991217695,0.05312218634641026,"[0.955692757639678, 0.9737368402116825, 0.9751541323949495, 0.945380027250662]",0.962490939374243,0.945380027250662,0.9751541323949495,0.01250825059433052,0.7505468037956451,0.6078086535764327,0.39219134642356734,"[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,True,False,slot_l2
16345,23200,3,0.6470388219709016,0.4516422765295497,0.21205637124656962,0.4812767905702966,0.02183482237160206,0.45282697677612305,0.47042959928512573,0.33625176548957825,3.077086925506592,2.811272382736206,4.173684597015381,0.3614410625305027,2.277755868362874e-07,0.9852120876312256,"[0.17586252214261464, 0.22204138459884248, 0.26903599785754323, 0.33306009502753575]",0.17586252214261464,0.33306009502753575,0.24999999990663402,0.05817946029016556,"[0.9567193580210612, 0.967349288991399, 0.9739193059921386, 0.946972891497549]",0.9612402111255369,0.946972891497549,0.9739193059921386,0.010272229567709089,0.7432529683076552,0.6395177000580046,0.3604822999419954,0.0009628756088204682,0.9928627610206604,"[0.24298451329325133, 0.24755246742958548, 0.2848812477008096, 0.22458177109047028]",0.22458177109047028,0.2848812477008096,0.24999999987852917,0.021897461448066834,"[0.963360569134765, 0.9783685196652323, 0.9738824172177559, 0.9335390683157959]",0.9622876435833873,0.9335390683157959,0.9783685196652323,0.01746900898983018,0.777560423300278,0.6340170784668262,0.3659829215331738,"[0, 1, 2, 3]","[1, 2, 0, 3]",True,True,True,False,"mask_iou_mean,mask_iou_min,slot_l2"
20297,18792,3,0.7551639709798939,0.4802791775614014,0.24978551073452127,0.5165855164163136,0.008446897380053997,0.6548648476600647,0.6535038948059082,0.6093261241912842,2.2197355031967163,2.2634634971618652,2.5489418506622314,0.6587261706590652,1.4649965578428237e-06,0.9861623048782349,"[0.22656482602779665, 0.20986733864897644, 0.22262901595293094, 0.3409388196397458]",0.20986733864897644,0.3409388196397458,0.25000000006736245,0.05286510562601409,"[0.9533773608587569, 0.9679233322522811, 0.975763249395053, 0.946058484501142]",0.9607806067518083,0.946058484501142,0.975763249395053,0.011694518389686078,0.73843979003378,0.627614116703294,0.37238588329670597,6.314367510640295e-06,0.9978173971176147,"[0.22715330247447696, 0.20729804659849937, 0.23817956168850074, 0.3273690893290109]",0.20729804659849937,0.3273690893290109,0.250000000022622,0.04601936320073077,"[0.9560723686668375, 0.9700680894081662, 0.9727428221326992, 0.9462976396746077]",0.9612952299705777,0.9462976396746077,0.9727428221326992,0.010726327702268772,0.74685680857854,0.6107122366229338,0.38928776337706616,"[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,True,False,slot_l2
