a,b,factor_j,target_gap_std,protected_joint_dist_std,protected_max_drift_std,latent_score,image_mse,mask_iou_mean,mask_iou_median,mask_iou_min,slot_l2_mean,slot_l2_median,slot_l2_max,slot_cos_mean,mask_a_raw_min,mask_a_raw_max,mask_a_area_per_slot,mask_a_area_min,mask_a_area_max,mask_a_area_mean,mask_a_area_std,mask_a_entropy_per_slot,mask_a_entropy_mean,mask_a_entropy_min,mask_a_entropy_max,mask_a_entropy_std,mask_a_pixel_slot_entropy,mask_a_within_image_diversity,mask_a_within_image_pair_iou_mean,mask_b_raw_min,mask_b_raw_max,mask_b_area_per_slot,mask_b_area_min,mask_b_area_max,mask_b_area_mean,mask_b_area_std,mask_b_entropy_per_slot,mask_b_entropy_mean,mask_b_entropy_min,mask_b_entropy_max,mask_b_entropy_std,mask_b_pixel_slot_entropy,mask_b_within_image_diversity,mask_b_within_image_pair_iou_mean,match_rows,match_cols,fail_mask_iou_mean,fail_mask_iou_min,fail_slot_l2,fail_image_mse,fail_reasons,final_score
5450,5048,7,2.2824779629891747,0.27868637268959356,0.15075310420299393,-0.06474439175599594,0.004488044884055853,0.9314247369766235,0.9331110715866089,0.9233558773994446,0.7116392701864243,0.7573886811733246,1.0043021440505981,0.9546438902616501,1.358400459139375e-05,0.9951927661895752,"[0.20755371951812585, 0.2353343243360584, 0.24754693313271048, 0.30956502264286345]",0.20755371951812585,0.30956502264286345,0.24999999990743954,0.0373188230954772,"[0.9650575295856311, 0.9695724189871563, 0.9761878625667646, 0.9315355574098706]",0.9605883421373556,0.9315355574098706,0.9761878625667646,0.017234388670185567,0.7431778185584946,0.589774963258098,0.4102250367419021,1.7002994354697876e-05,0.9943526983261108,"[0.20832797544563952, 0.24080358442336092, 0.2450588897321353, 0.3058095508101877]",0.20832797544563952,0.3058095508101877,0.25000000010283085,0.035214529040694234,"[0.966270389210323, 0.9722231608190606, 0.9771248631792899, 0.9307386800325478]",0.9615892733103054,0.9307386800325478,0.9771248631792899,0.018221594797006486,0.7500082042807639,0.5819745353979695,0.41802546460203044,"[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,False,False,,-0.2865170008585264
23701,23197,7,1.1293935190464195,0.40898859174812885,0.23481784880984474,0.3592232745462286,0.004298355896025896,0.7988311648368835,0.8160209655761719,0.7169346809387207,0.8747269809246063,0.7490865588188171,1.466223955154419,0.9466983824968338,8.575354149797931e-05,0.9959216117858887,"[0.24327184696678295, 0.24903538303675887, 0.2645642465346043, 0.24312852433996035]",0.24312852433996035,0.2645642465346043,0.2500000002195266,0.008739750911659483,"[0.9615166092541371, 0.977344999045639, 0.9749547048164515, 0.9227715336567478]",0.9591469616932439,0.9227715336567478,0.977344999045639,0.021850859825929266,0.757155133373722,0.6279770773543842,0.3720229226456158,0.00016485439846292138,0.9758766293525696,"[0.25810286614822076, 0.2611684291146972, 0.27546304346481065, 0.20526566116666345]",0.20526566116666345,0.27546304346481065,0.249999999973598,0.026645440051032167,"[0.9664308522897334, 0.9816173097091061, 0.9773535057511259, 0.9304091582775167]",0.9639527065068705,0.9304091582775167,0.9816173097091061,0.020142805545736265,0.7918478262302561,0.6116878083624102,0.38831219163758973,"[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,False,False,,0.34285068458578194
22983,22881,7,0.835219754355685,0.4345275317107003,0.21676235947384392,0.43005535044494625,0.00749543122947216,0.7828161120414734,0.785565972328186,0.7266297340393066,1.0600064396858215,0.8577757477760315,1.788936734199524,0.9141038209199905,0.0003201391373295337,0.9779927730560303,"[0.22711456516405804, 0.25005433724463444, 0.292839866673539, 0.22999123190845694]",0.22711456516405804,0.292839866673539,0.2500000002476721,0.026264762788354143,"[0.9608691449177612, 0.9759927744254137, 0.9734094598211348, 0.9213223619143127]",0.9578984352696556,0.9213223619143127,0.9759927744254137,0.02187824975877276,0.7515144444496763,0.6527606866215692,0.3472393133784308,6.944948108866811e-05,0.9920217394828796,"[0.20754454862722227, 0.25411832158509995, 0.28133641964925005, 0.2570007091404989]",0.20754454862722227,0.28133641964925005,0.2499999997505178,0.02669460174290096,"[0.9598548431240149, 0.9716157687530745, 0.9748613406452971, 0.9223119565988229]",0.9571609772803024,0.9223119565988229,0.9748613406452971,0.020880343719730025,0.740313639521138,0.6439484908869284,0.3560515091130716,"[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,False,False,,0.5306372421640722
22024,24992,7,0.6356039049470651,0.504625028434092,0.24670143811726186,0.5625303260326253,0.00551828695461154,0.7695268988609314,0.7698161005973816,0.7376437187194824,0.9572965949773788,1.0321356654167175,1.2788755893707275,0.9380020797252655,2.6763513233163394e-05,0.9995200634002686,"[0.21895074519083613, 0.23884217013214304, 0.2695320905657219, 0.27267499391251704]",0.21895074519083613,0.27267499391251704,0.24999999995030453,0.022272243389276452,"[0.9493567482927311, 0.9673521630015527, 0.96794027518759, 0.9333709384989962]",0.9545050312452176,0.9333709384989962,0.96794027518759,0.014306548043819282,0.7229664011956023,0.6660846924941,0.3339153075059001,6.487638165708631e-05,0.9979346990585327,"[0.220017386329463, 0.24462560214385576, 0.2701520278676881, 0.265204983348184]",0.220017386329463,0.2701520278676881,0.2499999999222977,0.019780906328018887,"[0.954356608692453, 0.9688918435394892, 0.9712510337743862, 0.9320763312224825]",0.9566439543072027,0.9320763312224825,0.9712510337743862,0.015589881455620227,0.737142821987254,0.6539048974598947,0.3460951025401054,"[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,False,False,,0.6273941223208015
