a,b,factor_j,target_gap_std,protected_joint_dist_std,protected_max_drift_std,latent_score,image_mse,mask_iou_mean,mask_iou_median,mask_iou_min,slot_l2_mean,slot_l2_median,slot_l2_max,slot_cos_mean,mask_a_raw_min,mask_a_raw_max,mask_a_area_per_slot,mask_a_area_min,mask_a_area_max,mask_a_area_mean,mask_a_area_std,mask_a_entropy_per_slot,mask_a_entropy_mean,mask_a_entropy_min,mask_a_entropy_max,mask_a_entropy_std,mask_a_pixel_slot_entropy,mask_a_within_image_diversity,mask_a_within_image_pair_iou_mean,mask_b_raw_min,mask_b_raw_max,mask_b_area_per_slot,mask_b_area_min,mask_b_area_max,mask_b_area_mean,mask_b_area_std,mask_b_entropy_per_slot,mask_b_entropy_mean,mask_b_entropy_min,mask_b_entropy_max,mask_b_entropy_std,mask_b_pixel_slot_entropy,mask_b_within_image_diversity,mask_b_within_image_pair_iou_mean,match_rows,match_cols,fail_mask_iou_mean,fail_mask_iou_min,fail_slot_l2,fail_image_mse,fail_reasons
8783,4513,5,2.1920008116292955,0.4341619355277408,0.22134637601122617,0.1617715552103013,0.012501711957156658,0.648871898651123,0.6448562145233154,0.6193690299987793,1.9097189009189606,1.9416247606277466,2.150033473968506,0.6999302059412003,1.8187212162956712e-06,0.9662601947784424,"[0.2128669319665497, 0.2361991026667272, 0.23779884481416502, 0.31313511915578207]",0.2128669319665497,0.31313511915578207,0.249999999650806,0.0377632128117564,"[0.9623381951391315, 0.9744141087983093, 0.9792564461280573, 0.948210222936209]",0.9660547432504268,0.948210222936209,0.9792564461280573,0.0120042032882285,0.7808537372171067,0.5822077927931104,0.41779220720688953,1.3881260201742407e-05,0.9978500604629517,"[0.2401644360254096, 0.21779701675275454, 0.21422347064901004, 0.3278150756234339]",0.21422347064901004,0.3278150756234339,0.24999999976265203,0.04601335810230443,"[0.9534481791019475, 0.9643724293680711, 0.9701201277763611, 0.9423796230241637]",0.9575800898176359,0.9423796230241637,0.9701201277763611,0.010624444755804291,0.7230562124857031,0.6355137574100027,0.3644862425899973,"[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,True,False,slot_l2
5470,3806,5,1.367418975431335,0.5484242032158649,0.22954546486594524,0.4470995067790568,0.0131604028865695,0.633325457572937,0.6389634609222412,0.5612593293190002,1.9402729868888855,1.8256952166557312,2.4550483226776123,0.7538477629423141,6.71837256049912e-07,0.9997909665107727,"[0.24179766437572336, 0.22201748936508459, 0.21385805412647052, 0.3223267918430118]",0.21385805412647052,0.3223267918430118,0.24999999992757255,0.0429758777715881,"[0.9530129220694381, 0.9695124498432937, 0.9659181540177069, 0.9365804596334169]",0.9562559963909638,0.9365804596334169,0.9695124498432937,0.012910607323924945,0.7147014491632491,0.627017188346503,0.37298281165349706,1.0055379107143381e-07,0.9995549321174622,"[0.2293818879648839, 0.20059636131085412, 0.1947241970703537, 0.375297553982863]",0.1947241970703537,0.375297553982863,0.25000000008223866,0.07351992499184462,"[0.950764813672932, 0.9620310326418026, 0.9536763629524841, 0.9506873335503411]",0.9542898857043899,0.9506873335503411,0.9620310326418026,0.004628884339755321,0.692621497215185,0.6402068643013212,0.3597931356986787,"[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,True,False,slot_l2
3538,11715,5,0.820122338231747,0.4879831624341212,0.21902463618270573,0.48822717192480114,0.03655451536178589,0.6404288411140442,0.6396222710609436,0.6216447353363037,1.8795479536056519,1.8812774419784546,2.076749324798584,0.7067497819662094,4.548792276182212e-07,0.9986112117767334,"[0.2189059746234281, 0.21547212570647556, 0.2050351244836226, 0.3605867759532334]",0.2050351244836226,0.3605867759532334,0.2500000001916899,0.06405132231906356,"[0.9514426023334126, 0.964251375659731, 0.9654296052183825, 0.9406184467029467]",0.9554355074786182,0.9406184467029467,0.9654296052183825,0.010162309075048724,0.6971633190597508,0.6165332553818661,0.38346674461813396,9.069474344869377e-07,0.9864107966423035,"[0.202957586500353, 0.23069668680637045, 0.24177306270347287, 0.32457266463411405]",0.202957586500353,0.32457266463411405,0.2500000001610776,0.04531658464634155,"[0.959078415238307, 0.970356737482092, 0.9740489821782325, 0.943317563305763]",0.9617004245510986,0.943317563305763,0.9740489821782325,0.011960593102262513,0.749743397156752,0.602456259462036,0.3975437405379641,"[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,True,False,slot_l2
