a,b,factor_j,target_gap_std,protected_joint_dist_std,protected_max_drift_std,latent_score,image_mse,mask_iou_mean,mask_iou_median,mask_iou_min,slot_l2_mean,slot_l2_median,slot_l2_max,slot_cos_mean,mask_a_raw_min,mask_a_raw_max,mask_a_area_per_slot,mask_a_area_min,mask_a_area_max,mask_a_area_mean,mask_a_area_std,mask_a_entropy_per_slot,mask_a_entropy_mean,mask_a_entropy_min,mask_a_entropy_max,mask_a_entropy_std,mask_a_pixel_slot_entropy,mask_a_within_image_diversity,mask_a_within_image_pair_iou_mean,mask_b_raw_min,mask_b_raw_max,mask_b_area_per_slot,mask_b_area_min,mask_b_area_max,mask_b_area_mean,mask_b_area_std,mask_b_entropy_per_slot,mask_b_entropy_mean,mask_b_entropy_min,mask_b_entropy_max,mask_b_entropy_std,mask_b_pixel_slot_entropy,mask_b_within_image_diversity,mask_b_within_image_pair_iou_mean,match_rows,match_cols,fail_mask_iou_mean,fail_mask_iou_min,fail_slot_l2,fail_image_mse,fail_reasons,final_score
1019,1082,8,1.3939217299375117,0.39443700736933446,0.2416389155062283,0.2968818480115033,0.0020430367439985275,0.8702097535133362,0.8794073462486267,0.8361420035362244,0.43909095972776413,0.4014337807893753,0.568019449710846,0.9826719462871552,9.122167284658644e-06,0.9984149932861328,"[0.189476477997774, 0.22453015925349362, 0.25623563002105243, 0.3297577319333058]",0.189476477997774,0.3297577319333058,0.24999999980140647,0.05174936808336613,"[0.9528842091755094, 0.964626923101368, 0.9702292244501024, 0.9386195289191099]",0.9565899714115225,0.9386195289191099,0.9702292244501024,0.012117046804381516,0.7164681224086997,0.6265438524956475,0.37345614750435246,5.7515590015100315e-06,0.9994407296180725,"[0.19126801768252144, 0.2232037150796895, 0.2516808585702712, 0.33384740822195624]",0.19126801768252144,0.33384740822195624,0.2499999998886096,0.05291667927871066,"[0.9510434948138874, 0.9641575644937688, 0.968746015246646, 0.938153651749009]",0.9555251815758279,0.938153651749009,0.968746015246646,0.011949519263861704,0.709099637375043,0.6280569128950224,0.3719430871049776,"[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,False,False,,0.012647882993840953
18134,20331,8,2.422319495829735,0.5506519944063548,0.24700815612738314,0.25144421233594516,0.0032178733963519335,0.7908187508583069,0.7910547256469727,0.7671574950218201,0.9052263796329498,0.9609453678131104,1.1400948762893677,0.9204681813716888,3.3314772736048326e-05,0.9824373126029968,"[0.20970468003279574, 0.220233206363031, 0.23469225144967254, 0.3353698626399648]",0.20970468003279574,0.3353698626399648,0.25000000012136603,0.050080224209591406,"[0.9629000089508786, 0.9735687783245779, 0.9773859778296417, 0.9529038000651356]",0.9666896412925584,0.9529038000651356,0.9773859778296417,0.009567456209106196,0.7781663396814673,0.5790562999602988,0.42094370003970116,8.436933967459481e-06,0.979403555393219,"[0.21397328319327769, 0.23968492002236275, 0.2506172482038238, 0.2957245482813988]",0.21397328319327769,0.2957245482813988,0.24999999992521577,0.029561125273321026,"[0.9674738831171524, 0.9794717749301579, 0.9827076432923382, 0.946518794284105]",0.9690430239059383,0.946518794284105,0.9827076432923382,0.014188761342806147,0.8028792043390514,0.5613252810887257,0.43867471891127435,"[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,False,False,,0.18914098862995588
16230,14512,8,0.617431234085657,0.4030215252165607,0.2271150977259544,0.44987160169389506,0.002917384961619973,0.8485663533210754,0.8512496948242188,0.8338711857795715,0.7090334519743919,0.7657518684864044,0.8256604075431824,0.9638136327266693,1.8338535028306069e-06,0.9978753328323364,"[0.18908457345598784, 0.242091319865537, 0.2886430218877204, 0.28018108583083823]",0.18908457345598784,0.2886430218877204,0.2500000002600209,0.039298274437471976,"[0.960020506592389, 0.9696863439200739, 0.975465147843607, 0.9277613213151589]",0.9582333299178072,0.9277613213151589,0.975465147843607,0.018438033975386837,0.7374529518006039,0.6462817772916749,0.3537182227083251,1.9071831047767773e-05,0.9955952763557434,"[0.19085520474469853, 0.2389794237244356, 0.2788351984047437, 0.29133017308721243]",0.19085520474469853,0.29133017308721243,0.24999999999027256,0.03924032295259857,"[0.9573985016429307, 0.9719208763183107, 0.97510759632427, 0.9303729199673118]",0.9586999735632058,0.9303729199673118,0.97510759632427,0.017664357820999687,0.7384588066739063,0.6377492388965911,0.3622507611034089,"[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,False,False,,0.35069228179708045
