seed,model,rmse_mean,mae_mean,nll,sharp,reg_ece,reg_ece_pf_mean,reg_ece_pf,coverage_pf_50_80_90_95,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag,T,T_pf,coverage_pf_mean,coverage_pf,qhat_pf
45,FlatMLP_NLL,0.2375480830669403,0.16368213295936584,-1.298683762550354,0.05787280574440956,0.012391757220029831,0.012391757220029831,"[0.009067544713616371, 0.016711335629224777, 0.00855321902781725, 0.010380960069596767, 0.019216975197196007, 0.010606572963297367, 0.003237641416490078, 0.018230164423584938, 0.023608874529600143, 0.004304283764213324]","[[0.536309540271759, 0.8322222232818604, 0.9169841408729553, 0.9575793743133545], [0.45079365372657776, 0.7386904954910278, 0.8429762125015259, 0.9041270017623901], [0.5246031880378723, 0.8089285492897034, 0.8968650698661804, 0.9417063593864441], [0.5198412537574768, 0.806587278842926, 0.893412709236145, 0.9393650889396667], [0.5073809623718262, 0.7948015928268433, 0.8916270136833191, 0.9375396966934204], [0.535793662071228, 0.8182539939880371, 0.9015079140663147, 0.9424999952316284], [0.5180952548980713, 0.8113889098167419, 0.9046428799629211, 0.949404776096344], [0.48523810505867004, 0.7914285659790039, 0.9021825194358826, 0.9573412537574768], [0.4722222089767456, 0.760873019695282, 0.8693650960922241, 0.9311110973358154], [0.44055554270744324, 0.7834126949310303, 0.9013491868972778, 0.953253984451294]]",FlatMLP_NLL,FlatMLP_NLL_seed45,flatmlp,FlatMLP,nll,NLL,,,,,
45,FlatMLP_NLL+posthocT,0.2375480830669403,0.16368213295936584,-1.3004720211029053,0.06252869218587875,0.012172526679933071,0.012172526679933071,"[0.015674522146582603, 0.012736906297504902, 0.008919153362512589, 0.008598346263170242, 0.018430523574352264, 0.01106223277747631, 0.005021745804697275, 0.01760195381939411, 0.019483786076307297, 0.0041961027309298515]","[[0.5515872836112976, 0.848293662071228, 0.9267460107803345, 0.964206337928772], [0.46662697196006775, 0.7563889026641846, 0.8581746220588684, 0.9159920811653137], [0.5406349301338196, 0.824920654296875, 0.9085317254066467, 0.9496031999588013], [0.5350000262260437, 0.8223809599876404, 0.9049603343009949, 0.9460317492485046], [0.5235714316368103, 0.8122618794441223, 0.9035714268684387, 0.9453571438789368], [0.5530952215194702, 0.8336904644966125, 0.9116666913032532, 0.9498412609100342], [0.534761905670166, 0.8264682292938232, 0.9160317182540894, 0.9570237994194031], [0.5007936358451843, 0.8105952143669128, 0.9167063236236572, 0.9640476107597351], [0.4875793755054474, 0.7783730030059814, 0.8849999904632568, 0.9424999952316284], [0.4576587378978729, 0.8042460083961487, 0.915158748626709, 0.9611507654190063]]",FlatMLP_NLL,FlatMLP_NLL_seed45,flatmlp,FlatMLP,nll,NLL,1.0394471883773804,,,,
45,FlatMLP_NLL+pfT,0.2375480830669403,0.16368213295936584,-1.303078532218933,0.06215989962220192,0.009449237026274204,0.009449237026274204,"[0.0037444699555635452, 0.003819501493126154, 0.00859837420284748, 0.00857507809996605, 0.01854833774268627, 0.010345128364861012, 0.0034969968255609274, 0.018571536988019943, 0.014551931992173195, 0.004241010639816523]","[[0.513015866279602, 0.8102381229400635, 0.9021031856536865, 0.9456745982170105], [0.5143650770187378, 0.8058333396911621, 0.8979365229606628, 0.9455158710479736], [0.5384126901626587, 0.8229365348815918, 0.9072222113609314, 0.9480952620506287], [0.537063479423523, 0.8244444727897644, 0.9063491821289062, 0.9466666579246521], [0.5463095307350159, 0.8341270089149475, 0.9175000190734863, 0.9538094997406006], [0.5375000238418579, 0.8199999928474426, 0.9024206399917603, 0.9435317516326904], [0.5116666555404663, 0.8066666722297668, 0.8998412489891052, 0.9464682340621948], [0.47932538390159607, 0.784246027469635, 0.8964682817459106, 0.9546031951904297], [0.5071031451225281, 0.8015079498291016, 0.9024206399917603, 0.9545238018035889], [0.4508333206176758, 0.7948412895202637, 0.9100396633148193, 0.9584920406341553]]",FlatMLP_NLL,FlatMLP_NLL_seed45,flatmlp,FlatMLP,nll,NLL,,"[0.9474493861198425, 1.1671078205108643, 1.0337445735931396, 1.0442324876785278, 1.0955650806427002, 1.0040174722671509, 0.9863660931587219, 0.9865221381187439, 1.0902695655822754, 1.0230718851089478]",,,
45,FlatMLP_NLL+cdfCal90,0.2375480830669403,0.16368213295936584,-1.298683762550354,0.05787280574440956,0.012391757220029831,0.012391757220029831,"[0.009067544713616371, 0.016711335629224777, 0.00855321902781725, 0.010380960069596767, 0.019216975197196007, 0.010606572963297367, 0.003237641416490078, 0.018230164423584938, 0.023608874529600143, 0.004304283764213324]",,FlatMLP_NLL,FlatMLP_NLL_seed45,flatmlp,FlatMLP,nll,NLL,,,0.8975595238095238,"[0.8978968253968254, 0.8937301587301587, 0.8991666666666667, 0.8976984126984127, 0.9032936507936508, 0.8931349206349206, 0.8971031746031746, 0.8940079365079365, 0.9006746031746031, 0.8988888888888888]",
45,FlatMLP_NLL+gaussSplitConf90,0.2375480830669403,0.16368213295936584,-1.298683762550354,0.05787280574440956,0.012391757220029831,0.012391757220029831,"[0.009067544713616371, 0.016711335629224777, 0.00855321902781725, 0.010380960069596767, 0.019216975197196007, 0.010606572963297367, 0.003237641416490078, 0.018230164423584938, 0.023608874529600143, 0.004304283764213324]",,FlatMLP_NLL,FlatMLP_NLL_seed45,flatmlp,FlatMLP,nll,NLL,,,0.9030515873015872,"[0.916984126984127, 0.8913888888888889, 0.9022222222222223, 0.8977380952380952, 0.9058333333333334, 0.9015079365079365, 0.9046428571428572, 0.9021825396825397, 0.9066666666666666, 0.9013492063492063]","[0.0, 0.02607719588038253, 0.004579443623545818, 0.005241208850486315, 0.016383534166557318, 0.0, 0.0, 0.0, 0.034450411999332395, 0.0]"
