seed,model,rmse_mean,mae_mean,nll,sharp,reg_ece,reg_ece_pf_mean,reg_ece_pf,coverage_pf_50_80_90_95,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag,T,T_pf,coverage_pf_mean,coverage_pf,qhat_pf
46,DeepSets_NLL,0.368659108877182,0.2848828136920929,-0.8286309242248535,0.1819772869348526,0.014340514317154884,0.014340514317154884,"[0.0071926359087228775, 0.005717636086046696, 0.014530627988278866, 0.020608598366379738, 0.018142495304346085, 0.016155462712049484, 0.0028803227469325066, 0.01371935848146677, 0.039973631501197815, 0.004484363831579685]","[[0.5148809552192688, 0.8061110973358154, 0.897777795791626, 0.9430555701255798], [0.5031746029853821, 0.7971428632736206, 0.8917063474655151, 0.9411904811859131], [0.5265873074531555, 0.8092857003211975, 0.8969047665596008, 0.9419047832489014], [0.5507539510726929, 0.8234920501708984, 0.9029762148857117, 0.94134920835495], [0.5356746315956116, 0.8133730292320251, 0.8999999761581421, 0.9433333277702332], [0.5084920525550842, 0.7924206256866455, 0.89083331823349, 0.9425793886184692], [0.5135714411735535, 0.8073015809059143, 0.8968650698661804, 0.9435714483261108], [0.4801984131336212, 0.7890079617500305, 0.9020634889602661, 0.9586904644966125], [0.4339682459831238, 0.7795634865760803, 0.9278967976570129, 0.9814285635948181], [0.46063491702079773, 0.7971031665802002, 0.9110317230224609, 0.962420642375946]]",DeepSets_NLL,DeepSets_NLL_seed46,deepsets,DeepSets,nll,NLL,,,,,
46,DeepSets_NLL+posthocT,0.368659108877182,0.2848828136920929,-0.8287574648857117,0.18547913432121277,0.013797104358673096,0.013797104358673096,"[0.0069354684092104435, 0.005273765884339809, 0.014047720469534397, 0.021622421219944954, 0.019315678626298904, 0.015309814363718033, 0.0031141771469265223, 0.013529188930988312, 0.034355197101831436, 0.004467607010155916]","[[0.5188491940498352, 0.8098015785217285, 0.9009127020835876, 0.9449206590652466], [0.5069444179534912, 0.8008730411529541, 0.8951587080955505, 0.9432142972946167], [0.5312301516532898, 0.8125793933868408, 0.8996428847312927, 0.9436904788017273], [0.5546428561210632, 0.8266666531562805, 0.9058730006217957, 0.942976176738739], [0.5395237803459167, 0.8172619342803955, 0.903253972530365, 0.9450793862342834], [0.5121428370475769, 0.7967063784599304, 0.8946428298950195, 0.9445635080337524], [0.5178571343421936, 0.8107936382293701, 0.8999603390693665, 0.9459127187728882], [0.4839285612106323, 0.7937301397323608, 0.9059523940086365, 0.9607142806053162], [0.43809524178504944, 0.7855158448219299, 0.9321825504302979, 0.983214259147644], [0.4654761850833893, 0.8022222518920898, 0.9146031737327576, 0.9642857313156128]]",DeepSets_NLL,DeepSets_NLL_seed46,deepsets,DeepSets,nll,NLL,1.0095758438110352,,,,
46,DeepSets_NLL+pfT,0.368659108877182,0.2848828136920929,-0.8289437890052795,0.1835469901561737,0.014820930548012257,0.014820930548012257,"[0.007155163679271936, 0.0044262041337788105, 0.01440398022532463, 0.020900703966617584, 0.018234821036458015, 0.015165719203650951, 0.0033382379915565252, 0.013870413415133953, 0.04620426893234253, 0.004509788006544113]","[[0.527222216129303, 0.8177381157875061, 0.9062698483467102, 0.9486111402511597], [0.51583331823349, 0.8102777600288391, 0.9011111259460449, 0.9475396871566772], [0.5276190638542175, 0.8101190328598022, 0.8975396752357483, 0.942380964756012], [0.5528967976570129, 0.8248809576034546, 0.9044444561004639, 0.9419047832489014], [0.5358333587646484, 0.8137301802635193, 0.9002777934074402, 0.9434523582458496], [0.5225793719291687, 0.8073809742927551, 0.9021825194358826, 0.9505952596664429], [0.5209524035453796, 0.8134920597076416, 0.9014682769775391, 0.9471032023429871], [0.47781744599342346, 0.7869444489479065, 0.9002380967140198, 0.957460343837738], [0.42964285612106323, 0.7721825242042542, 0.9230555295944214, 0.9795238375663757], [0.4570634961128235, 0.7934126853942871, 0.908650815486908, 0.9608333110809326]]",DeepSets_NLL,DeepSets_NLL_seed46,deepsets,DeepSets,nll,NLL,,"[1.0270837545394897, 1.0304099321365356, 1.0025113821029663, 1.0045695304870605, 1.0009256601333618, 1.0353951454162598, 1.0155665874481201, 0.9953848719596863, 0.9894788861274719, 0.9928358793258667]",,,
46,DeepSets_NLL+cdfCal90,0.368659108877182,0.2848828136920929,-0.8286309242248535,0.1819772869348526,0.014340514317154884,0.014340514317154884,"[0.0071926359087228775, 0.005717636086046696, 0.014530627988278866, 0.020608598366379738, 0.018142495304346085, 0.016155462712049484, 0.0028803227469325066, 0.01371935848146677, 0.039973631501197815, 0.004484363831579685]",,DeepSets_NLL,DeepSets_NLL_seed46,deepsets,DeepSets,nll,NLL,,,0.8995357142857141,"[0.9018650793650793, 0.8987301587301587, 0.893095238095238, 0.9023412698412698, 0.9021428571428571, 0.898015873015873, 0.8979365079365079, 0.9007142857142857, 0.9012301587301588, 0.8992857142857142]",
46,DeepSets_NLL+gaussSplitConf90,0.368659108877182,0.2848828136920929,-0.8286309242248535,0.1819772869348526,0.014340514317154884,0.014340514317154884,"[0.0071926359087228775, 0.005717636086046696, 0.014530627988278866, 0.020608598366379738, 0.018142495304346085, 0.016155462712049484, 0.0028803227469325066, 0.01371935848146677, 0.039973631501197815, 0.004484363831579685]",,DeepSets_NLL,DeepSets_NLL_seed46,deepsets,DeepSets,nll,NLL,,,0.9039801587301588,"[0.9021031746031746, 0.8980952380952381, 0.8969047619047619, 0.9029761904761905, 0.9010317460317461, 0.8997619047619048, 0.897420634920635, 0.9025793650793651, 0.9278968253968254, 0.9110317460317461]","[0.004843792071721773, 0.00516312132140785, 0.0, 0.0, 0.0021096685105243974, 0.021975254342416095, 0.0004964308031451869, 0.000511157143497939, 0.0, 0.0]"
