seed,model,rmse_mean,mae_mean,nll,sharp,reg_ece,reg_ece_pf_mean,reg_ece_pf,coverage_pf_50_80_90_95,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag,T,T_pf,coverage_pf_mean,coverage_pf,qhat_pf
47,FactorQuery_NLL,0.33068370819091797,0.24590572714805603,-0.8088420033454895,0.11577625572681427,0.01409776508808136,0.01409776508808136,"[0.007930956780910492, 0.00934912171214819, 0.009521189145743847, 0.029774339869618416, 0.019239505752921104, 0.02785547263920307, 0.005725800525397062, 0.016122182831168175, 0.005334730260074139, 0.010124344378709793]","[[0.4918650686740875, 0.7922618985176086, 0.8919047713279724, 0.9420635104179382], [0.5052777528762817, 0.8029761910438538, 0.8990873098373413, 0.9432539939880371], [0.4967460334300995, 0.79067462682724, 0.8866269588470459, 0.9368650913238525], [0.5021428465843201, 0.7931746244430542, 0.8925793766975403, 0.9417856931686401], [0.5129761695861816, 0.8083333373069763, 0.9011111259460449, 0.9446031451225281], [0.49642857909202576, 0.7903968095779419, 0.8890079259872437, 0.9382936358451843], [0.5220237970352173, 0.8149999976158142, 0.9055555462837219, 0.9499602913856506], [0.47087302803993225, 0.7749999761581421, 0.8863492012023926, 0.9445635080337524], [0.5140476226806641, 0.8007936477661133, 0.8917063474655151, 0.9362301826477051], [0.5078174471855164, 0.796746015548706, 0.8944841027259827, 0.942380964756012]]",FactorQuery_NLL,FactorQuery_NLL_seed47,factorquery,FactorQuery,nll,NLL,,,,,
47,FactorQuery_NLL+posthocT,0.33068370819091797,0.24590572714805603,-0.8099358081817627,0.12333551049232483,0.013056713156402111,0.013056713156402111,"[0.00887598842382431, 0.007836160250008106, 0.006365782115608454, 0.02660701982676983, 0.016254983842372894, 0.023631032556295395, 0.010154546238481998, 0.014709746465086937, 0.006186498329043388, 0.009945377707481384]","[[0.5061507821083069, 0.8052380681037903, 0.9015079140663147, 0.9486904740333557], [0.5200396776199341, 0.815833330154419, 0.909166693687439, 0.9500793814659119], [0.5101190209388733, 0.8047618865966797, 0.8969841003417969, 0.943412721157074], [0.5153968334197998, 0.8068253993988037, 0.9031349420547485, 0.9484127163887024], [0.5273016095161438, 0.8212301731109619, 0.9112698435783386, 0.9506745934486389], [0.5099206566810608, 0.8032936453819275, 0.8997222185134888, 0.9457142949104309], [0.5357142686843872, 0.8288094997406006, 0.9142460227012634, 0.9559524059295654], [0.4841666519641876, 0.7911508083343506, 0.899404764175415, 0.9524602890014648], [0.528769850730896, 0.8138095140457153, 0.9006349444389343, 0.942976176738739], [0.5209524035453796, 0.8103968501091003, 0.9044444561004639, 0.9493650794029236]]",FactorQuery_NLL,FactorQuery_NLL_seed47,factorquery,FactorQuery,nll,NLL,1.0321297645568848,,,,
47,FactorQuery_NLL+pfT,0.33068370819091797,0.24590572714805603,-0.8101711273193359,0.12435872852802277,0.012835214845836163,0.012835214845836163,"[0.00931492168456316, 0.007711473852396011, 0.007958460599184036, 0.026460975408554077, 0.01634390465915203, 0.023078948259353638, 0.0049782246351242065, 0.01454264484345913, 0.00793916080147028, 0.010023435577750206]","[[0.5076587200164795, 0.8065476417541504, 0.9030158519744873, 0.9491269588470459], [0.52182537317276, 0.817976176738739, 0.9103571176528931, 0.9513491988182068], [0.5182936787605286, 0.8127777576446533, 0.9029365181922913, 0.9474602937698364], [0.5178174376487732, 0.8090079426765442, 0.9049603343009949, 0.9497619271278381], [0.5265476107597351, 0.8204365372657776, 0.910793662071228, 0.950515866279602], [0.5121825337409973, 0.8051984310150146, 0.9012698531150818, 0.9467460513114929], [0.5188888907432556, 0.8119444251060486, 0.9036904573440552, 0.9485714435577393], [0.4855952262878418, 0.793055534362793, 0.9006349444389343, 0.95333331823349], [0.5348016023635864, 0.819523811340332, 0.9036508202552795, 0.9456745982170105], [0.5149602890014648, 0.803928554058075, 0.8996031880378723, 0.9461507797241211]]",FactorQuery_NLL,FactorQuery_NLL_seed47,factorquery,FactorQuery,nll,NLL,,"[1.0355055332183838, 1.0371668338775635, 1.0505050420761108, 1.0377166271209717, 1.030419111251831, 1.0377105474472046, 0.9936909675598145, 1.035930871963501, 1.045362949371338, 1.0181161165237427]",,,
47,FactorQuery_NLL+cdfCal90,0.33068370819091797,0.24590572714805603,-0.8088420033454895,0.11577625572681427,0.01409776508808136,0.01409776508808136,"[0.007930956780910492, 0.00934912171214819, 0.009521189145743847, 0.029774339869618416, 0.019239505752921104, 0.02785547263920307, 0.005725800525397062, 0.016122182831168175, 0.005334730260074139, 0.010124344378709793]",,FactorQuery_NLL,FactorQuery_NLL_seed47,factorquery,FactorQuery,nll,NLL,,,0.90075,"[0.9004761904761904, 0.9073809523809524, 0.9056349206349207, 0.9007936507936508, 0.8986507936507937, 0.8978968253968254, 0.9046428571428572, 0.8959920634920635, 0.8978571428571429, 0.8981746031746032]",
47,FactorQuery_NLL+gaussSplitConf90,0.33068370819091797,0.24590572714805603,-0.8088420033454895,0.11577625572681427,0.01409776508808136,0.01409776508808136,"[0.007930956780910492, 0.00934912171214819, 0.009521189145743847, 0.029774339869618416, 0.019239505752921104, 0.02785547263920307, 0.005725800525397062, 0.016122182831168175, 0.005334730260074139, 0.010124344378709793]",,FactorQuery_NLL,FactorQuery_NLL_seed47,factorquery,FactorQuery,nll,NLL,,,0.9006190476190478,"[0.9002777777777777, 0.9069047619047619, 0.9036507936507937, 0.8990873015873015, 0.9011111111111111, 0.8968650793650793, 0.9055555555555556, 0.8963492063492063, 0.8964285714285715, 0.8999603174603175]","[0.011794067864002326, 0.007656677568924529, 0.030452462807563967, 0.01203600272197765, 0.0, 0.01753418450059766, 0.0, 0.008547153763764428, 0.006626601632367276, 0.0030338878293715405]"
