seed,model,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag,factor,slot_0,slot_1,slot_2,slot_3
46,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed46,factorquery,FactorQuery,nll,NLL,f6,0.10982738435268402,0.1522027552127838,0.18513724207878113,0.5528325438499451
46,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed46,factorquery,FactorQuery,nll,NLL,f7,0.16098439693450928,0.36595869064331055,0.44194990396499634,0.03110603429377079
46,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed46,factorquery,FactorQuery,nll,NLL,f8,0.2246677428483963,0.23134545981884003,0.23984698951244354,0.3041400909423828
46,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed46,factorquery,FactorQuery,nll,NLL,f9,0.2768627107143402,0.2949120104312897,0.2936124801635742,0.13461405038833618
46,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed46,factorquery,FactorQuery,residual_variance_reg,RESVAR,f0,0.04032829403877258,0.042985450476408005,0.05815992131829262,0.8585283160209656
46,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed46,factorquery,FactorQuery,residual_variance_reg,RESVAR,f1,0.14651980996131897,0.14440283179283142,0.16187696158885956,0.5472018122673035
46,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed46,factorquery,FactorQuery,residual_variance_reg,RESVAR,f2,0.4374113976955414,0.21335534751415253,0.1969209611415863,0.15231122076511383
46,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed46,factorquery,FactorQuery,residual_variance_reg,RESVAR,f3,0.22485816478729248,0.28487738966941833,0.29718053340911865,0.19308331608772278
46,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed46,factorquery,FactorQuery,residual_variance_reg,RESVAR,f4,0.1762825846672058,0.29092487692832947,0.3270549774169922,0.20573540031909943
46,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed46,factorquery,FactorQuery,residual_variance_reg,RESVAR,f5,0.2380736917257309,0.2940320670604706,0.27723851799964905,0.19065497815608978
46,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed46,factorquery,FactorQuery,residual_variance_reg,RESVAR,f6,0.19469626247882843,0.19379331171512604,0.2122347205877304,0.3992750942707062
46,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed46,factorquery,FactorQuery,residual_variance_reg,RESVAR,f7,0.25149619579315186,0.22837834060192108,0.23051294684410095,0.28961408138275146
46,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed46,factorquery,FactorQuery,residual_variance_reg,RESVAR,f8,0.2513773739337921,0.2902924716472626,0.27044159173965454,0.18788930773735046
46,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed46,factorquery,FactorQuery,residual_variance_reg,RESVAR,f9,0.33045321702957153,0.39292263984680176,0.27046453952789307,0.0061569297686219215
