seed,model,r2_set_repr_mean,r2_z_mean,r2_set_repr_pf,r2_z_pf,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag
46,MeanPoolLinear_RESVAR,0.6846953630447388,0.6846953630447388,"[0.7676978707313538, 0.8913732767105103, 0.623026967048645, 0.41443997621536255, 0.37107330560684204, 0.3854452967643738, 0.8318013548851013, 0.8604235649108887, 0.7227882146835327, 0.9788839221000671]","[0.7676978707313538, 0.8913732171058655, 0.6230270266532898, 0.41443997621536255, 0.37107330560684204, 0.3854452967643738, 0.8318014144897461, 0.8604235649108887, 0.7227882146835327, 0.9788839221000671]",MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR_seed46,meanpool_linear,MeanPoolLinear,residual_variance_reg,RESVAR
46,MeanPoolMLP_RESVAR,0.6846953630447388,0.7932626008987427,"[0.767697811126709, 0.8913732767105103, 0.623026967048645, 0.41443997621536255, 0.3710733652114868, 0.385445237159729, 0.8318013548851013, 0.8604235649108887, 0.7227881550788879, 0.9788839221000671]","[0.8916733264923096, 0.9432554244995117, 0.8057163953781128, 0.5906088352203369, 0.5555775165557861, 0.5298686027526855, 0.919692873954773, 0.9095902442932129, 0.7901350259780884, 0.9965077638626099]",MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed46,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
46,FlatMLP_RESVAR,0.7559887170791626,0.9122570753097534,"[0.8496034145355225, 0.9348180890083313, 0.7060309648513794, 0.519197940826416, 0.4925333261489868, 0.49571698904037476, 0.8890842795372009, 0.8678712844848633, 0.825818657875061, 0.9792129397392273]","[0.9601399302482605, 0.9782428741455078, 0.9268749952316284, 0.8245967626571655, 0.8388480544090271, 0.7859534025192261, 0.9741474390029907, 0.9239377379417419, 0.9120849370956421, 0.9977452158927917]",FlatMLP_RESVAR,FlatMLP_RESVAR_seed46,flatmlp,FlatMLP,residual_variance_reg,RESVAR
46,DeepSets_RESVAR,0.8144289255142212,0.8234227895736694,"[0.9164965152740479, 0.9586799740791321, 0.8279197812080383, 0.6375603675842285, 0.5666584968566895, 0.5369060635566711, 0.9497759938240051, 0.8980008363723755, 0.8546494245529175, 0.9976416826248169]","[0.9319610595703125, 0.9600639343261719, 0.8400614261627197, 0.6416962146759033, 0.5960078239440918, 0.5416277647018433, 0.9573884010314941, 0.9009007811546326, 0.8670895099639893, 0.9974312782287598]",DeepSets_RESVAR,DeepSets_RESVAR_seed46,deepsets,DeepSets,residual_variance_reg,RESVAR
46,FactorQuery_RESVAR,0.784213662147522,0.002847570227459073,"[0.9200993776321411, 0.9552193284034729, 0.756766676902771, 0.523993194103241, 0.491538941860199, 0.5123967528343201, 0.9403068423271179, 0.901849627494812, 0.8461578488349915, 0.9938077926635742]","[0.003914475440979004, 0.00398409366607666, 0.0028838515281677246, 0.005744874477386475, -0.0006208419799804688, 0.0058792829513549805, 0.0013494491577148438, 0.003534853458404541, 6.496906280517578e-05, 0.0017406940460205078]",FactorQuery_RESVAR,FactorQuery_RESVAR_seed46,factorquery,FactorQuery,residual_variance_reg,RESVAR
47,MeanPoolLinear_NLL,0.6846793293952942,0.6846793293952942,"[0.7676443457603455, 0.8913807272911072, 0.6230089664459229, 0.4144126772880554, 0.3710188865661621, 0.38547027111053467, 0.8318132162094116, 0.8603938817977905, 0.7227672338485718, 0.9788825511932373]","[0.7676443457603455, 0.8913807272911072, 0.6230089068412781, 0.4144126772880554, 0.3710188865661621, 0.385470449924469, 0.8318132162094116, 0.8603938817977905, 0.7227672338485718, 0.9788825511932373]",MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed47,meanpool_linear,MeanPoolLinear,nll,NLL
47,MeanPoolMLP_NLL,0.6846792101860046,0.794409990310669,"[0.7676442861557007, 0.891380786895752, 0.6230088472366333, 0.4144126772880554, 0.3710188865661621, 0.38547027111053467, 0.8318132162094116, 0.8603938817977905, 0.7227672338485718, 0.9788825511932373]","[0.8877862691879272, 0.9455008506774902, 0.8216615319252014, 0.6070216298103333, 0.5729687213897705, 0.5025445222854614, 0.9235931634902954, 0.9003724455833435, 0.7854085564613342, 0.9972420334815979]",MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed47,meanpool,MeanPoolMLP,nll,NLL
47,FlatMLP_NLL,0.7559965252876282,0.9008147120475769,"[0.8496167063713074, 0.9348334074020386, 0.7060917019844055, 0.5194116830825806, 0.49232566356658936, 0.4958171248435974, 0.8890418410301208, 0.8678333163261414, 0.8257807493209839, 0.9792126417160034]","[0.9615989327430725, 0.9779846668243408, 0.9210667610168457, 0.7909463047981262, 0.7961513996124268, 0.745062530040741, 0.9781370162963867, 0.9252731800079346, 0.9142993092536926, 0.9976274371147156]",FlatMLP_NLL,FlatMLP_NLL_seed47,flatmlp,FlatMLP,nll,NLL
47,DeepSets_NLL,0.7408674955368042,0.7218542695045471,"[0.9070417284965515, 0.9580723643302917, 0.8098892569541931, 0.5615484714508057, 0.512689471244812, 0.48574328422546387, 0.9418563842773438, 0.8896833658218384, 0.34493911266326904, 0.9972116351127625]","[0.9241520166397095, 0.9608842730522156, 0.8413225412368774, 0.5845584869384766, 0.5285457372665405, 0.4802759885787964, 0.9524838328361511, 0.8930952548980713, 0.055653274059295654, 0.9975710511207581]",DeepSets_NLL,DeepSets_NLL_seed47,deepsets,DeepSets,nll,NLL
47,FactorQuery_NLL,0.8142912983894348,0.7150757312774658,"[0.9146246910095215, 0.9474357962608337, 0.7990597486495972, 0.6039637923240662, 0.5870658159255981, 0.5764954090118408, 0.9414312243461609, 0.9032031297683716, 0.8826480507850647, 0.986985445022583]","[0.8164765238761902, 0.8973173499107361, 0.6743673086166382, 0.4386804699897766, 0.38214224576950073, 0.45505112409591675, 0.8972196578979492, 0.8454996347427368, 0.8288465142250061, 0.9151563048362732]",FactorQuery_NLL,FactorQuery_NLL_seed47,factorquery,FactorQuery,nll,NLL
47,MeanPoolLinear_RESVAR,0.6846792101860046,0.6846792101860046,"[0.7676443457603455, 0.8913807272911072, 0.6230089068412781, 0.4144126772880554, 0.3710189461708069, 0.3854702115058899, 0.8318132162094116, 0.8603938817977905, 0.7227672338485718, 0.9788825511932373]","[0.7676443457603455, 0.8913807272911072, 0.6230089068412781, 0.4144126772880554, 0.3710188865661621, 0.38547027111053467, 0.8318131566047668, 0.8603938817977905, 0.7227672934532166, 0.9788825511932373]",MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR_seed47,meanpool_linear,MeanPoolLinear,residual_variance_reg,RESVAR
47,MeanPoolMLP_RESVAR,0.6846792101860046,0.7937699556350708,"[0.7676443457603455, 0.8913807272911072, 0.6230089068412781, 0.4144126772880554, 0.37101882696151733, 0.38547027111053467, 0.8318132162094116, 0.8603938817977905, 0.7227672338485718, 0.9788825511932373]","[0.8883347511291504, 0.9488394260406494, 0.8189305067062378, 0.5947957038879395, 0.5790050029754639, 0.5194690227508545, 0.9076911211013794, 0.9027177095413208, 0.7802416086196899, 0.9976748824119568]",MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed47,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
47,FlatMLP_RESVAR,0.7559965252876282,0.9100431203842163,"[0.8496166467666626, 0.9348334670066833, 0.7060917019844055, 0.5194116234779358, 0.49232566356658936, 0.49581724405288696, 0.8890418410301208, 0.8678333163261414, 0.8257807493209839, 0.9792126417160034]","[0.9626189470291138, 0.9791865944862366, 0.9261638522148132, 0.8208317160606384, 0.8413147330284119, 0.7753815054893494, 0.978544294834137, 0.9139829277992249, 0.9049110412597656, 0.997495710849762]",FlatMLP_RESVAR,FlatMLP_RESVAR_seed47,flatmlp,FlatMLP,residual_variance_reg,RESVAR
47,DeepSets_RESVAR,0.8136521577835083,0.8123451471328735,"[0.9201921224594116, 0.9605822563171387, 0.8392578959465027, 0.6436507701873779, 0.6130177974700928, 0.5449288487434387, 0.9495912194252014, 0.9005183577537537, 0.767439603805542, 0.9973419308662415]","[0.9248272180557251, 0.9594348669052124, 0.8440855741500854, 0.667939305305481, 0.6179590225219727, 0.5343449711799622, 0.9420927166938782, 0.8859398365020752, 0.7500964999198914, 0.9967319965362549]",DeepSets_RESVAR,DeepSets_RESVAR_seed47,deepsets,DeepSets,residual_variance_reg,RESVAR
47,FactorQuery_RESVAR,0.8278366923332214,0.00031015873537398875,"[0.9138230085372925, 0.9481304883956909, 0.8066875338554382, 0.6364715695381165, 0.652558445930481, 0.6141469478607178, 0.9393652677536011, 0.9025535583496094, 0.8802911043167114, 0.9843389391899109]","[0.0006210803985595703, 0.00027489662170410156, -8.14199447631836e-05, 0.0003012418746948242, 7.545948028564453e-05, 0.0008373856544494629, -0.0002262592315673828, 0.00019186735153198242, 0.0006315708160400391, 0.00047576427459716797]",FactorQuery_RESVAR,FactorQuery_RESVAR_seed47,factorquery,FactorQuery,residual_variance_reg,RESVAR
