model,n_seeds,rmse_mean_mean,rmse_mean_ci95_lo,rmse_mean_ci95_hi,mae_mean_mean,mae_mean_ci95_lo,mae_mean_ci95_hi,nll_mean,nll_ci95_lo,nll_ci95_hi,sharp_mean,sharp_ci95_lo,sharp_ci95_hi,reg_ece_mean,reg_ece_ci95_lo,reg_ece_ci95_hi
DeepSets_NLL,3,0.35624539852142334,0.30071987836095293,0.41177091868189375,0.27410855889320374,0.2244738198192642,0.32374329796714324,-0.8432395060857137,-0.9500117375831723,-0.7364672745882552,0.1643346498409907,0.09895603494220774,0.22971326473977366,0.015855828300118446,0.010799011358286238,0.020912645241950654
DeepSets_NLL+cdfCal90,3,0.35624539852142334,0.30071987836095293,0.41177091868189375,0.27410855889320374,0.2244738198192642,0.32374329796714324,-0.8432395060857137,-0.9500117375831723,-0.7364672745882552,0.1643346498409907,0.09895603494220774,0.22971326473977366,0.015855828300118446,0.010799011358286238,0.020912645241950654
DeepSets_NLL+gaussSplitConf90,3,0.35624539852142334,0.30071987836095293,0.41177091868189375,0.27410855889320374,0.2244738198192642,0.32374329796714324,-0.8432395060857137,-0.9500117375831723,-0.7364672745882552,0.1643346498409907,0.09895603494220774,0.22971326473977366,0.015855828300118446,0.010799011358286238,0.020912645241950654
DeepSets_NLL+pfT,3,0.35624539852142334,0.30071987836095293,0.41177091868189375,0.27410855889320374,0.2244738198192642,0.32374329796714324,-0.8451954325040182,-0.9479283563657414,-0.742462508642295,0.16757803161938986,0.09525863385711335,0.23989742938166636,0.014657616304854551,0.014272717121399351,0.015042515488309751
DeepSets_NLL+posthocT,3,0.35624539852142334,0.30071987836095293,0.41177091868189375,0.27410855889320374,0.2244738198192642,0.32374329796714324,-0.8436623613039652,-0.9495618196360601,-0.7377629029718703,0.16991408169269562,0.09774104823730662,0.24208711514808462,0.015642748524745304,0.010725346174773264,0.020560150874717346
DeepSets_RESVAR,3,0.3061398963133494,0.2866199044459237,0.3256598881807751,0.22901049256324768,0.21258343197040572,0.24543755315608964,-0.9418103893597921,-1.0035580901746648,-0.8800626885449195,0.09784094740947087,0.07779807453825868,0.11788382028068306,0.015875895507633686,0.014298000517739414,0.01745379049752796
DeepSets_RESVAR+cdfCal90,3,0.3061398963133494,0.2866199044459237,0.3256598881807751,0.22901049256324768,0.21258343197040572,0.24543755315608964,-0.9418103893597921,-1.0035580901746648,-0.8800626885449195,0.09784094740947087,0.07779807453825868,0.11788382028068306,0.015875895507633686,0.014298000517739414,0.01745379049752796
DeepSets_RESVAR+gaussSplitConf90,3,0.3061398963133494,0.2866199044459237,0.3256598881807751,0.22901049256324768,0.21258343197040572,0.24543755315608964,-0.9418103893597921,-1.0035580901746648,-0.8800626885449195,0.09784094740947087,0.07779807453825868,0.11788382028068306,0.015875895507633686,0.014298000517739414,0.01745379049752796
DeepSets_RESVAR+pfT,3,0.3061398963133494,0.2866199044459237,0.3256598881807751,0.22901049256324768,0.21258343197040572,0.24543755315608964,-0.9462538758913676,-1.0116065903510774,-0.8809011614316578,0.10974704970916112,0.09500695942150227,0.12448713999681997,0.014098357719679674,0.010888642609440344,0.017308072829919006
DeepSets_RESVAR+posthocT,3,0.3061398963133494,0.2866199044459237,0.3256598881807751,0.22901049256324768,0.21258343197040572,0.24543755315608964,-0.9443926413853964,-1.0095327311030706,-0.8792525516677221,0.10698733727137248,0.09240992248819688,0.12156475205454809,0.01525032240897417,0.012377040251677084,0.018123604566271257
FactorQuery_NLL,3,0.33211202422777814,0.32822625656463217,0.3359977918909241,0.2488666425148646,0.24185012797819386,0.25588315705153536,-0.8457207679748535,-0.9267998082136799,-0.7646417277360271,0.12682833770910898,0.10241956995608292,0.15123710546213504,0.018375783537824947,0.008461059187546216,0.02829050788810368
FactorQuery_NLL+cdfCal90,3,0.33211202422777814,0.32822625656463217,0.3359977918909241,0.2488666425148646,0.24185012797819386,0.25588315705153536,-0.8457207679748535,-0.9267998082136799,-0.7646417277360271,0.12682833770910898,0.10241956995608292,0.15123710546213504,0.018375783537824947,0.008461059187546216,0.02829050788810368
FactorQuery_NLL+gaussSplitConf90,3,0.33211202422777814,0.32822625656463217,0.3359977918909241,0.2488666425148646,0.24185012797819386,0.25588315705153536,-0.8457207679748535,-0.9267998082136799,-0.7646417277360271,0.12682833770910898,0.10241956995608292,0.15123710546213504,0.018375783537824947,0.008461059187546216,0.02829050788810368
FactorQuery_NLL+pfT,3,0.33211202422777814,0.32822625656463217,0.3359977918909241,0.2488666425148646,0.24185012797819386,0.25588315705153536,-0.8494887948036194,-0.9348669468640906,-0.7641106427431482,0.13053960601488748,0.11716501966745486,0.14391419236232011,0.013178683196504911,0.008379589069995138,0.017977777323014685
FactorQuery_NLL+posthocT,3,0.33211202422777814,0.32822625656463217,0.3359977918909241,0.2488666425148646,0.24185012797819386,0.25588315705153536,-0.8463620146115621,-0.9264132253788941,-0.7663108038442301,0.12976466615994772,0.11243559478250123,0.14709373753739421,0.01802829063187043,0.007035433209971539,0.02902114805376932
FactorQuery_RESVAR,3,0.34006743629773456,0.2752627899282175,0.4048720826672516,0.2586703846851985,0.19518697858788517,0.32215379078251183,-0.8046719829241434,-0.9940852840238594,-0.6152586818244274,0.11968888590733211,0.0635646831017175,0.1758130887129467,0.02290492442746957,0.00929816131248228,0.03651168754245686
