seed,model,rmse_mean,mae_mean,nll,sharp,reg_ece,reg_ece_pf_mean,reg_ece_pf,coverage_pf_50_80_90_95,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag,T,T_pf,coverage_pf_mean,coverage_pf,qhat_pf
47,FactorQuery_RESVAR,0.325125515460968,0.2426561862230301,-0.7884409427642822,0.10879754275083542,0.017507128417491913,0.017507128417491913,"[0.01739860698580742, 0.004388580098748207, 0.009374168701469898, 0.027314279228448868, 0.016582809388637543, 0.04076089337468147, 0.01203920878469944, 0.019366461783647537, 0.007111063692718744, 0.020735198631882668]","[[0.48178571462631226, 0.7709127068519592, 0.878928542137146, 0.9344444274902344], [0.5111111402511597, 0.8096031546592712, 0.9024603366851807, 0.9484127163887024], [0.5180952548980713, 0.8061110973358154, 0.8978174328804016, 0.945555567741394], [0.5070635080337524, 0.7952380776405334, 0.8903571367263794, 0.9399206638336182], [0.5096825361251831, 0.8044841289520264, 0.8951587080955505, 0.9407936334609985], [0.47734126448631287, 0.769960343837738, 0.8719841241836548, 0.9256746172904968], [0.5049999952316284, 0.7990872859954834, 0.891269862651825, 0.9397618770599365], [0.4894047677516937, 0.7842063307762146, 0.8955555558204651, 0.9486904740333557], [0.5214285850524902, 0.8060317635536194, 0.8956349492073059, 0.9392856955528259], [0.5597618818283081, 0.8415873050689697, 0.9227777719497681, 0.9599206447601318]]",FactorQuery_RESVAR,FactorQuery_RESVAR_seed47,factorquery,FactorQuery,residual_variance_reg,RESVAR,,,,,
47,FactorQuery_RESVAR+posthocT,0.325125515460968,0.2426561862230301,-0.7892991900444031,0.1145547479391098,0.018134741112589836,0.018134741112589836,"[0.016593554988503456, 0.006975643802434206, 0.015878431499004364, 0.025974182412028313, 0.015624690800905228, 0.035276997834444046, 0.013443376868963242, 0.018594354391098022, 0.010279900394380093, 0.02270629070699215]","[[0.49214285612106323, 0.782698392868042, 0.8884127140045166, 0.9415476322174072], [0.521746039390564, 0.8199602961540222, 0.9110317230224609, 0.9540476202964783], [0.5292460322380066, 0.8163889050483704, 0.9065079092979431, 0.9507539868354797], [0.5172222256660461, 0.8072222471237183, 0.8994444608688354, 0.9466269612312317], [0.5212698578834534, 0.8159920573234558, 0.9020237922668457, 0.9460317492485046], [0.4871031641960144, 0.7805555462837219, 0.8811507821083069, 0.9307143092155457], [0.5149999856948853, 0.8097618818283081, 0.9000396728515625, 0.9463492035865784], [0.49960318207740784, 0.7975397109985352, 0.9040873050689697, 0.954880952835083], [0.5335317254066467, 0.8170635104179382, 0.9032142758369446, 0.9448015689849854], [0.5722222328186035, 0.8513888716697693, 0.9300000071525574, 0.9642857313156128]]",FactorQuery_RESVAR,FactorQuery_RESVAR_seed47,factorquery,FactorQuery,residual_variance_reg,RESVAR,1.0261173248291016,,,,
47,FactorQuery_RESVAR+pfT,0.325125515460968,0.2426561862230301,-0.7910478115081787,0.11775979399681091,0.01682467758655548,0.01682467758655548,"[0.017747020348906517, 0.005701815709471703, 0.01271882001310587, 0.02579706348478794, 0.016206441447138786, 0.029243821278214455, 0.013863625004887581, 0.019089989364147186, 0.010167515836656094, 0.017710674554109573]","[[0.5059523582458496, 0.7992063760757446, 0.9000396728515625, 0.948888897895813], [0.5172619223594666, 0.8156746029853821, 0.907619059085846, 0.9517063498497009], [0.5243253707885742, 0.8113889098167419, 0.9026983976364136, 0.948452353477478], [0.5209524035453796, 0.8117856979370117, 0.9024603366851807, 0.9480555653572083], [0.5307936668395996, 0.8240079283714294, 0.9085714221000671, 0.9498809576034546], [0.5123412609100342, 0.8053571581840515, 0.8998016119003296, 0.9457539916038513], [0.5185714364051819, 0.8124603033065796, 0.9026190638542175, 0.9482539892196655], [0.49365079402923584, 0.7887698411941528, 0.8981349468231201, 0.950952410697937], [0.533214271068573, 0.8167063593864441, 0.9030555486679077, 0.9445635080337524], [0.5248412489891052, 0.8081746101379395, 0.8992857336997986, 0.9449206590652466]]",FactorQuery_RESVAR,FactorQuery_RESVAR_seed47,factorquery,FactorQuery,residual_variance_reg,RESVAR,,"[1.0635366439819336, 1.0154682397842407, 1.0142693519592285, 1.035476803779602, 1.0484580993652344, 1.0875905752182007, 1.0339338779449463, 1.0093519687652588, 1.025465965270996, 0.9199901819229126]",,,
47,FactorQuery_RESVAR+cdfCal90,0.325125515460968,0.2426561862230301,-0.7884409427642822,0.10879754275083542,0.017507128417491913,0.017507128417491913,"[0.01739860698580742, 0.004388580098748207, 0.009374168701469898, 0.027314279228448868, 0.016582809388637543, 0.04076089337468147, 0.01203920878469944, 0.019366461783647537, 0.007111063692718744, 0.020735198631882668]",,FactorQuery_RESVAR,FactorQuery_RESVAR_seed47,factorquery,FactorQuery,residual_variance_reg,RESVAR,,,0.8988293650793651,"[0.8951984126984127, 0.9079365079365079, 0.9038492063492064, 0.9011111111111111, 0.9003174603174603, 0.8967857142857143, 0.8953571428571429, 0.8961904761904762, 0.8939285714285714, 0.8976190476190476]",
47,FactorQuery_RESVAR+gaussSplitConf90,0.325125515460968,0.2426561862230301,-0.7884409427642822,0.10879754275083542,0.017507128417491913,0.017507128417491913,"[0.01739860698580742, 0.004388580098748207, 0.009374168701469898, 0.027314279228448868, 0.016582809388637543, 0.04076089337468147, 0.01203920878469944, 0.019366461783647537, 0.007111063692718744, 0.020735198631882668]",,FactorQuery_RESVAR,FactorQuery_RESVAR_seed47,factorquery,FactorQuery,residual_variance_reg,RESVAR,,,0.9011904761904761,"[0.8956746031746031, 0.9053571428571429, 0.9034920634920635, 0.8998015873015873, 0.8985714285714286, 0.8929761904761905, 0.8987301587301587, 0.898531746031746, 0.8959920634920635, 0.9227777777777778]","[0.02105690808664457, 0.002710336755793794, 0.009176861371321213, 0.01870450068469016, 0.0070044642155778596, 0.04547041460400327, 0.006306969653800485, 0.003755707352137467, 0.0005960512570332224, 0.0]"
