a,b,factor_j,target_gap_std,protected_joint_dist_std,protected_max_drift_std,latent_score,image_mse,mask_iou_mean,mask_iou_median,mask_iou_min,slot_l2_mean,slot_l2_median,slot_l2_max,slot_cos_mean,mask_a_raw_min,mask_a_raw_max,mask_a_area_per_slot,mask_a_area_min,mask_a_area_max,mask_a_area_mean,mask_a_area_std,mask_a_entropy_per_slot,mask_a_entropy_mean,mask_a_entropy_min,mask_a_entropy_max,mask_a_entropy_std,mask_a_pixel_slot_entropy,mask_a_within_image_diversity,mask_a_within_image_pair_iou_mean,mask_b_raw_min,mask_b_raw_max,mask_b_area_per_slot,mask_b_area_min,mask_b_area_max,mask_b_area_mean,mask_b_area_std,mask_b_entropy_per_slot,mask_b_entropy_mean,mask_b_entropy_min,mask_b_entropy_max,mask_b_entropy_std,mask_b_pixel_slot_entropy,mask_b_within_image_diversity,mask_b_within_image_pair_iou_mean,match_rows,match_cols,fail_mask_iou_mean,fail_mask_iou_min,fail_slot_l2,fail_image_mse,fail_reasons
14529,14132,9,1.4213962723460405,0.3511790841196858,0.19130323959124593,0.21037725934391216,0.02650434710085392,0.609959602355957,0.6079156398773193,0.5652284622192383,2.19360288977623,2.2423704862594604,2.8151206970214844,0.6004667580127716,7.103432380972663e-06,0.9879133105278015,"[0.20691091624474467, 0.22091347124217187, 0.23265635583250344, 0.3395192579673224]",0.20691091624474467,0.3395192579673224,0.25000000032168557,0.05248141298135018,"[0.9612004904683549, 0.969737121974621, 0.975340167870703, 0.9470868284118422]",0.9633411521813803,0.9470868284118422,0.975340167870703,0.01064976855245272,0.7545865192821428,0.6045978169521802,0.39540218304781977,2.232053884654306e-05,0.9945435523986816,"[0.20599196816201637, 0.22493360214662594, 0.26635682651992454, 0.30271760272115245]",0.20599196816201637,0.30271760272115245,0.24999999988742982,0.0374557157789862,"[0.9554049448652443, 0.9715301128202184, 0.9727996679402915, 0.9424954486307098]",0.960557543564116,0.9424954486307098,0.9727996679402915,0.012480539171613408,0.7505288899295098,0.6205562673370442,0.3794437326629559,"[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,True,False,slot_l2
888,14175,9,1.833667798994048,0.46358094169406255,0.23065438418219664,0.26983817003190047,0.021584169939160347,0.6492555141448975,0.6555614471435547,0.5738226175308228,2.028687506914139,1.9649282693862915,2.246324300765991,0.6652971357107162,8.675367098476272e-06,0.9727693200111389,"[0.1847739229781813, 0.24534500651257485, 0.29119023217867834, 0.2786908384274085]",0.1847739229781813,0.29119023217867834,0.25000000002421074,0.041218653315656995,"[0.9648018932269454, 0.9722735320653323, 0.9774823492236587, 0.9386684689629504]",0.9633065608697218,0.9386684689629504,0.9774823492236587,0.014921721914239619,0.7680413497347183,0.6171143524994509,0.38288564750054915,1.9030649127671495e-05,0.9750959277153015,"[0.2002968331982764, 0.24129194831167666, 0.25903597395419276, 0.29937524408423144]",0.2002968331982764,0.29937524408423144,0.24999999988709432,0.03558721156540911,"[0.9599811024856904, 0.9752326120112315, 0.9785468628724461, 0.9412317321198191]",0.9637480773722967,0.9412317321198191,0.9785468628724461,0.014765453696698719,0.7698130043598349,0.6130489446113199,0.38695105538868013,"[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,True,False,slot_l2
14689,22252,9,2.1426938100615436,0.548499759702679,0.2408317430932404,0.30058480501030055,0.028966322541236877,0.5246308445930481,0.5362139940261841,0.40225929021835327,2.820070803165436,2.823842763900757,3.3528060913085938,0.38988614082336426,3.570263652363792e-05,0.9948451519012451,"[0.19450626574619978, 0.23000990054334558, 0.2891873187792946, 0.2862965150931487]",0.19450626574619978,0.2891873187792946,0.25000000004049716,0.039787691497294615,"[0.9650076191891764, 0.975219975973406, 0.9779465174372644, 0.9299234358623121]",0.9620243871155397,0.9299234358623121,0.9779465174372644,0.019150773771933482,0.7570234420149087,0.6149410611657242,0.3850589388342758,0.0004743296594824642,0.9932389259338379,"[0.226039132684555, 0.2591937288468671, 0.27548356152794895, 0.23928357705865722]",0.226039132684555,0.27548356152794895,0.25000000002950706,0.018860682923906642,"[0.9625340890298584, 0.9713056824189711, 0.9752971793612795, 0.9244233584887167]",0.9583900773247065,0.9244233584887167,0.9752971793612795,0.020146797361626133,0.753204527926421,0.6290597857045996,0.3709402142954003,"[0, 1, 2, 3]","[0, 1, 2, 3]",True,False,True,False,"mask_iou_mean,slot_l2"
18651,6806,9,1.2861221250082744,0.4612390406832136,0.24632676364670159,0.3887596884165849,0.023034023120999336,0.5650266408920288,0.5655065774917603,0.5424259901046753,2.56781405210495,2.512228488922119,3.0410213470458984,0.5079732462763786,6.6669745137915015e-06,0.9970694184303284,"[0.2041989957701924, 0.2206988291873122, 0.23738077405508307, 0.3377214007968945]",0.2041989957701924,0.3377214007968945,0.24999999995237054,0.05198696860914143,"[0.9551064864218621, 0.9695470988944251, 0.9705704569301372, 0.9481174935817009]",0.9608353839570314,0.9481174935817009,0.9705704569301372,0.009555503983431435,0.7429076589873185,0.6346945977692589,0.36530540223074115,4.135287963435985e-05,0.9983904361724854,"[0.2273978433925814, 0.2094362520122317, 0.22274442289334306, 0.3404214819478568]",0.2094362520122317,0.3404214819478568,0.25000000006150325,0.05261935484017495,"[0.9525813021115096, 0.9688164671554659, 0.967680965489086, 0.9433673159674435]",0.9581115126808762,0.9433673159674435,0.9688164671554659,0.010655339541956485,0.7223065301973102,0.6054163458477733,0.3945836541522267,"[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,True,False,slot_l2
17150,5,9,0.8757877403933999,0.44433336772857646,0.19855438127857253,0.41809160560882586,0.012710216455161572,0.6706953048706055,0.6699717044830322,0.6076215505599976,1.9072417318820953,1.947632610797882,2.153049945831299,0.704132929444313,9.338255040347576e-05,0.9785889387130737,"[0.16990776882811076, 0.22621782648997169, 0.2733713005943912, 0.33050310469860733]",0.16990776882811076,0.33050310469860733,0.25000000015277024,0.05917627233220415,"[0.9598034084711167, 0.971281714657518, 0.977383175712291, 0.9515169438142437]",0.9649963106637924,0.9515169438142437,0.977383175712291,0.010019983694366333,0.766302411433835,0.6273110101074604,0.37268898989253957,1.6344534742529504e-05,0.9935983419418335,"[0.19620596460272877, 0.21726652418895043, 0.26954006943391917, 0.3169874409797444]",0.19620596460272877,0.3169874409797444,0.2499999998013357,0.046995771739307995,"[0.9491310143900028, 0.967324759874889, 0.9697601322590197, 0.9361461533375858]",0.9555905149653743,0.9361461533375858,0.9697601322590197,0.013768432233194572,0.714569958474679,0.6500622196217964,0.34993778037820356,"[0, 1, 2, 3]","[0, 1, 2, 3]",False,False,True,False,slot_l2
16549,23907,9,0.7171664093780712,0.4937996311034493,0.23021233754511772,0.5230256023866734,0.031125923618674278,0.48977962136268616,0.4978322386741638,0.37791121006011963,2.866865873336792,2.771518111228943,3.5235722064971924,0.435586616396904,3.517797892982344e-07,0.992646336555481,"[0.20795237711416625, 0.2344805862022208, 0.2526345104823773, 0.3049325249390906]",0.20795237711416625,0.3049325249390906,0.24999999968446374,0.03547315089134865,"[0.9544218331775323, 0.9740467631686348, 0.9755087219573494, 0.9364619797148118]",0.9601098245045822,0.9364619797148118,0.9755087219573494,0.015991701837391088,0.7461372069266294,0.6213594466623973,0.3786405533376027,3.332831693114713e-05,0.9839958548545837,"[0.23521470905296837, 0.25710109344763055, 0.28933865079895327, 0.2183455452278258]",0.2183455452278258,0.28933865079895327,0.2499999996318445,0.02654507633322028,"[0.9654530389916395, 0.9780577909162909, 0.9776950056194386, 0.9133138007599071]",0.9586299090718189,0.9133138007599071,0.9780577909162909,0.026650634484813376,0.7611095609206864,0.6315362523874515,0.3684637476125486,"[0, 1, 2, 3]","[0, 1, 2, 3]",True,False,True,False,"mask_iou_mean,slot_l2"
